Features,Swap,Swap_ratio,Distance_measure,Difference,Std,Protected,NonProtected
restecg,0.3,30%,"Wasserstein
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.3,30%,"Contingency
 coefficient(-)",0.3535533905932738,0.1767766952966369,1.0,0.0
restecg,0.3,30%,"Total variation
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.3,30%,"Jensen-Shannon
 divergence(+)",0.0,0.0,1.0,0.0
restecg,0.5,50%,"Hellinger
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.5,50%,"Wasserstein
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.5,50%,"Contingency
 coefficient(-)",0.3535533905932738,0.1767766952966369,1.0,0.0
restecg,0.5,50%,"Total variation
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.5,50%,"Jensen-Shannon
 divergence(+)",0.0,0.0,1.0,0.0
restecg,0.7,70%,"Hellinger
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.7,70%,"Wasserstein
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.7,70%,"Contingency
 coefficient(-)",0.3535533905932738,0.1767766952966369,1.0,0.0
restecg,0.7,70%,"Total variation
 distance(+)",0.0,0.0,1.0,0.0
restecg,0.7,70%,"Jensen-Shannon
 divergence(+)",0.0,0.0,1.0,0.0
exang,0.1,10%,"Hellinger
 distance(+)",0.0,0.0,1.0,0.0
exang,0.1,10%,"Wasserstein
 distance(+)",0.0,0.0,1.0,0.0
exang,0.1,10%,"Contingency
 coefficient(-)",0.0,0.0,1.0,0.0
exang,0.1,10%,"Total variation
 distance(+)",0.0,0.0,1.0,0.0
exang,0.1,10%,"Jensen-Shannon
 divergence(+)",0.0,0.0,1.0,0.0
exang,0.3,30%,"Hellinger
 distance(+)",0.00818423197509157,0.004092115987545785,1.0,0.0
exang,0.3,30%,"Wasserstein
 distance(+)",-0.00040976916239541996,0.00020488458119770998,1.0,0.0
exang,0.3,30%,"Contingency
 coefficient(-)",0.0075137884286049506,0.0037568942143024753,1.0,0.0
exang,0.3,30%,"Total variation
 distance(+)",-0.017078107650863074,0.008539053825431537,1.0,0.0
exang,0.3,30%,"Jensen-Shannon
 divergence(+)",-0.0015358903314723407,0.0007679451657361704,1.0,0.0
exang,0.5,50%,"Hellinger
 distance(+)",-0.006279982070368083,0.0031399910351840414,1.0,0.0
exang,0.5,50%,"Wasserstein
 distance(+)",-0.00040976916239541996,0.00020488458119770998,1.0,0.0
exang,0.5,50%,"Contingency
 coefficient(-)",0.02699063400841295,0.013495317004206475,1.0,0.0
exang,0.5,50%,"Total variation
 distance(+)",-0.03483082277199923,0.017415411385999616,1.0,0.0
exang,0.5,50%,"Jensen-Shannon
 divergence(+)",-0.007876016036686119,0.0039380080183430595,1.0,0.0
exang,0.7,70%,"Hellinger
 distance(+)",0.033236985593379106,0.016618492796689553,1.0,0.0
exang,0.7,70%,"Wasserstein
 distance(+)",0.0029303377323971797,0.0014651688661985898,1.0,0.0
exang,0.7,70%,"Contingency
 coefficient(-)",0.00816226781522178,0.00408113390761089,1.0,0.0
exang,0.7,70%,"Total variation
 distance(+)",0.009253374253374247,0.0046266871266871235,1.0,0.0
exang,0.7,70%,"Jensen-Shannon
 divergence(+)",0.00463677759899378,0.00231838879949689,1.0,0.0
oldpeak,0.1,10%,"Hellinger
 distance(+)",-0.019758483831873598,0.009879241915936799,>=0.9,<=0.8
oldpeak,0.1,10%,"Wasserstein
 distance(+)",-0.0013080962990190599,0.0006540481495095299,>=0.9,<=0.8
oldpeak,0.1,10%,"Contingency
 coefficient(-)",0.0060207161600435155,0.0030103580800217578,>=0.9,<=0.8
