Feature,Swap_proportion,Metric,Direct_Impact,Indirect_Impact,Impact_Sum,Impact_Product,Value
ca,50%,"Wasserstein
 distance(+)",0.01057324973469308,0.0078264402906513,0.018399690025344383,8.27509077267201e-05,0.015435738000282454
ca,50%,"Contingency
 coefficient(-)",0.06758535868959359,0.21019346254033028,0.27777882122992387,0.014206000559995876,0.402445997937146
ca,50%,"Total variation
 distance(+)",0.004010514048464836,0.10865396455016907,0.1126644785986339,0.00043575825124985334,0.20712253907181946
ca,50%,"Jensen-Shannon
 divergence(+)",0.00950935115508652,0.034005783701169336,0.043515134856255855,0.00032337293851833693,0.05298202644909485
ca,70%,"Hellinger
 distance(+)",0.21248118489626755,0.15633722025022911,0.36881840514649666,0.03321871780215743,0.12926171323781357
ca,70%,"Wasserstein
 distance(+)",0.01654305786159458,0.008663070579098861,0.02520612844069344,0.00014331367784911012,0.023694745157200176
ca,70%,"Contingency
 coefficient(-)",0.05845992501447361,0.20758223675306015,0.26604216176753376,0.012135241994920604,0.3354788847989287
ca,70%,"Total variation
 distance(+)",0.13768288194966943,0.1152407847547588,0.25292366670442823,0.01586668336317672,0.2915027407223664
ca,70%,"Jensen-Shannon
 divergence(+)",0.03372396147691355,0.03191865859608683,0.06564262007300037,0.0010764236128891877,0.06909171799708487
chol,10%,"Hellinger
 distance(+)",0.008184231975091563,0.011480983505662356,0.01966521548075392,9.396303231254069e-05,0.02880637731789526
chol,10%,"Wasserstein
 distance(+)",0.0004858643396356602,0.0005470141513007807,0.001032878490936441,2.6577466939311495e-07,0.0028422102354169155
chol,10%,"Contingency
 coefficient(-)",0.002284639135078703,0.04309396966752188,0.045378608802600584,9.845416958831506e-05,0.6163244252927345
chol,10%,"Total variation
 distance(+)",0.005611785874943782,0.009992021867021854,0.015603807741965636,5.6073087175482636e-05,0.042487212876467256
chol,10%,"Jensen-Shannon
 divergence(+)",0.001353945652304539,0.004819366055063017,0.006173311707367556,6.525159717116649e-06,0.014556922438948643
chol,30%,"Hellinger
 distance(+)",0.005294269786413952,0.015591642028915817,0.02088591181532977,8.254635931427094e-05,0.06182241124241477
chol,30%,"Wasserstein
 distance(+)",0.0002159397065047003,0.0023792779098915215,0.0025952176163962217,5.137805735550919e-07,0.00754569392788836
