ID,Feature,Category,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,total_variation_distortion,Distortion_kl,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,worse_case_unfair,epsilon_unfair,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_1,race,0,0.5,87.438,87.085,0.09999999999999999,0.5,6.904169547102045,0.05454150907703624,0.015064201425407212,0.49562926595609025,0.0737898079740732,0.13398379772827468,0.558313794704761,0.004541913953652275,0.6284299011386302,0.10961633195060239,0.004065627100997603,0.031247381773324125,3.035,12.915,1151.499999999994,377.59090909090946,0.086,0.087,0.375,0.366,0.032,0.034
F_1,race,1,0.5,81.751,81.14,0.09999999999999999,0.5,6.904169547102045,0.05454150907703624,0.015064201425407212,0.49562926595609025,0.0737898079740732,0.13398379772827468,1.6047406587537667,0.0054864965958112515,0.6329113839049756,0.10089244320159202,0.005636202607731479,0.03662025543506512,4.586,18.86,1151.499999999994,431.532467532468,0.147,0.147,0.431,0.418,0.051,0.055
F_2,sex,0,0.5,90.901,89.41,0.09999999999999999,0.5,6.904169547102045,0.025583406732658142,0.00042536755959999016,0.4995371798827125,0.08829526288447904,0.1469236057573627,1.006106856150903,0.0070372633180701165,0.5808583426989422,0.1739879715887905,0.005626380975486968,0.03637706320635968,3.5,10.59,3728.6666666667215,3728.6666666667215,0.052,0.073,0.324,0.352,0.018,0.038
F_2,sex,1,0.5,78.355,78.355,0.09999999999999999,0.5,6.904169547102045,0.025583406732658142,0.00042536755959999016,0.4995371798827125,0.08829526288447904,0.1469236057573627,1.5418953726479412,0.009261666641476166,0.631511835850097,0.13851838388750143,0.006378331581619213,0.03840277758423634,5.307,21.645,3728.6666666667215,3728.6666666667215,0.182,0.151,0.444,0.392,0.068,0.045
F_3,capital-gain,<=3471,0.5,82.657,82.635,0.0009101968883008814,0.00010238558410975715,30.013524770450264,0.18395127261753205,0.970807083240561,0.8739203382518373,inf,0.5821375283250465,0.098792419159368,3.4416039439221146e-05,0.7066695098908287,0.0006763257177274694,3.7603935599385575e-05,0.0030606613422459986,0.022,17.365,1.0,0.0,0.098,0.098,0.311,0.311,0.045,0.046
F_3,capital-gain,>=3674,0.5,94.382,93.258,0.0009101968883008814,0.00010238558410975715,30.013524770450264,0.18395127261753205,0.970807083240561,0.8739203382518373,inf,0.5821375283250465,0.26759664576394215,0.0018002382066038048,0.6851061007807455,0.04285980994247034,0.0036246282691501782,0.03008223467725374,2.247,6.742,1.3333333333333333,1.2,0.756,0.744,0.956,0.941,0.096,0.096
F_4,capital-loss,<=1876,0.5,83.235,82.983,0.00254657167976817,0.00010238558410975796,30.520980074980255,0.19032258667799717,0.967438486354964,0.9295505069839288,inf,0.5802299933677191,0.3383237832109508,6.118093574984296e-05,0.7030618949917664,0.004076542464270739,0.0004265769680475264,0.010263026429842802,0.252,17.017,1.2,0.0,0.127,0.128,0.409,0.405,0.046,0.048
F_4,capital-loss,>=1887,0.5,94.628,72.727,0.00254657167976817,0.00010238558410975796,30.520980074980255,0.19032258667799717,0.967438486354964,0.9295505069839288,inf,0.5802299933677191,0.723918660709977,0.03300252456879703,0.49854361158067145,0.38019716148250426,0.03154875103408354,0.08859193120366388,23.554,27.273,10.999999999999998,1.8333333333333335,0.752,0.533,0.962,0.672,0.102,0.102
F_5,hours-per-week,<=40,0.5,87.976,86.235,0.024257738504943352,0.00010238558410975742,2.4564471315106466,0.000992726801009733,0.9591220220175263,0.2112699011683541,inf,1.189125639649907,1.0217058274032347,0.0038685587367632366,0.619799374775456,0.08339184103718202,0.004357400942631819,0.032613889411121734,3.691,13.765,260.00000000000045,168.96153846153925,0.076,0.106,0.373,0.409,0.012,0.041
F_5,hours-per-week,>=41,0.5,73.174,72.888,0.024257738504943352,0.00010238558410975742,2.4564471315106466,0.000992726801009733,0.9591220220175263,0.2112699011683541,inf,1.189125639649907,0.8699704459108732,0.0057498837100921525,0.6630605133465302,0.08937346437357799,0.006350734015858478,0.03892346439558786,5.346,27.112,149.99999999999952,51.599999999999945,0.374,0.344,0.616,0.58,0.172,0.147
F_0,age,>=38,0.7,75.1,74.066,0.045851179933417106,0.00010238558410975728,2.8257331608020316e-31,6.740306375732689e-66,0.9272648936164495,0.26705872995648566,inf,0.882198926186773,1.937011067937298,0.01866279833140601,0.5660889870377904,0.23044434982229356,0.01218135992115683,0.053716341317404395,10.108,25.934,5761.9999999999245,244.28571428571587,0.221,0.145,0.46,0.337,0.091,0.04
F_0,age,<=37,0.7,87.601,84.275,0.045851179933417106,0.00010238558410975728,2.8257331608020316e-31,6.740306375732689e-66,0.9272648936164495,0.26705872995648566,inf,0.882198926186773,1.3395933395465591,0.007321579780048257,0.5096963595841271,0.18923309193365287,0.010576271407166672,0.05009302367958746,8.298,15.725,1572.9999999999472,111.00000000000011,0.094,0.129,0.413,0.42,0.027,0.068
F_1,race,0,0.7,87.438,86.803,0.14000819000819,0.70004095004095,8.169362518949502,0.07729659948749096,0.2895877706215482,0.6974015088012523,0.08931487164850734,0.14526561377517058,0.6693662479726294,0.006430294535387165,0.5926827367848662,0.14564272322551633,0.0057239548458875335,0.03711214114537569,4.305,13.197,1151.499999999994,986.9999999999948,0.086,0.092,0.375,0.375,0.032,0.039
