ID,ID2,Feature,Feature2,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_4,F_3,capital-loss,capital-gain,0.5,82.219,64.398,0.3968812353954143,0.3968812353954143,4.6887255188936665,0.026616175522269598,0.9960885062465026,0.373056766647764,0.03543492000270171,0.09348947851237203,27.772,35.602,0.26996155195978316,4.885822577345613,0.136,0.349,0.412,0.486,0.049,0.306
F_4,F_5,capital-loss,hours-per-week,0.5,82.219,70.99,0.42304720937594154,0.42304720937594154,3.936948206118371,0.015922037325464326,0.9960922333293847,0.29553217789504266,0.027575422714012397,0.08218722055615005,19.071,29.01,0.20218709140663854,7.626572038186442,0.136,0.254,0.412,0.424,0.049,0.2
F_5,F_0,hours-per-week,age,0.5,82.219,77.695,0.14162122857644965,0.14162122857644965,3.0096366782612565,0.007828345267914032,0.9957119526004116,0.20651189443619403,0.017081726214820125,0.06404469325188814,10.257,22.305,0.1395306482842272,10.591143111326646,0.136,0.157,0.412,0.362,0.049,0.093
F_5,F_1,hours-per-week,race,0.5,82.219,78.79,0.14611298055290833,0.14611298055290833,2.8175353952515874,0.00968598403284585,0.9959236901709136,0.17627754634603393,0.01479589493289276,0.0597341668141848,9.919,21.21,0.12494282863050452,11.936155777897405,0.136,0.173,0.412,0.419,0.049,0.096
F_5,F_2,hours-per-week,sex,0.5,82.219,79.476,0.12621183294786176,0.12621183294786176,2.6835582580295503,0.007929741835695468,0.9958038126650541,0.18197807097462296,0.013596943736590608,0.05702145635338933,8.005,20.524,0.11833609259306148,12.964929638915674,0.136,0.153,0.412,0.391,0.049,0.078
F_5,F_3,hours-per-week,capital-gain,0.5,82.219,65.759,0.17636370470347706,0.17636370470347706,4.454225882464581,0.021396945006744474,0.9960558690944963,0.3480511357662021,0.03353986336507678,0.09086581066612226,25.038,34.241,0.24785557815108614,6.256715824583501,0.136,0.307,0.412,0.426,0.049,0.27
F_5,F_4,hours-per-week,capital-loss,0.5,82.219,71.154,0.42269836814683215,0.42269836814683215,3.9362256954962493,0.01615200216417991,0.9960840707887855,0.2954102346905132,0.02747815428830116,0.08204953228689049,19.255,28.846,0.20203826794930724,7.668531808936288,0.136,0.256,0.412,0.433,0.049,0.201
F_0,F_1,age,race,0.7,82.219,79.435,0.1291635262413373,0.1291635262413373,2.825603358127915,0.0084145477058045,0.991431817781014,0.23965397270036512,0.015111937250074425,0.05980580714114082,8.681,20.565,0.14449457369293928,16.98705466949896,0.136,0.13,0.412,0.341,0.049,0.063
F_0,F_2,age,sex,0.7,82.219,80.407,0.09400645063061341,0.09400645063061341,2.688162969794792,0.008155834898365445,0.9905002659183795,0.23750144287690378,0.013748731956592661,0.056737035690028095,7.688,19.593,0.13949301955846496,13.849483840476363,0.136,0.114,0.412,0.328,0.049,0.046
F_0,F_3,age,capital-gain,0.7,82.219,57.283,0.1519824030785556,0.1519824030785556,5.426896066160904,0.031074084549391933,0.9930748798010819,0.45586274473670596,0.04800175030572024,0.10889061951747045,36.708,42.717,0.3651510973355387,5.249381968927992,0.136,0.386,0.412,0.414,0.049,0.377
