ID,ID2,Feature,Feature2,Category1,Category2,swap_proportion,Type,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_1,F_9,sex,oldpeak,0.0,>=2.1,0.5,NII,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
F_1,F_9,sex,oldpeak,0.0,<=2.0,0.5,NDI,60.0,60.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.4,0.4,0.5,0.5,0.333,0.333
F_1,F_9,sex,oldpeak,0.0,<=2.0,0.5,NII,0,0,0,0,0.17111348938666637,0.03363676197477629,0.5423261445466404,0.3541666666666667,0.029832307278064858,0.08625125492179074,7.143,7.143,0.21428571428571427,1.0,0,0,0,0,0,0
F_1,F_9,sex,oldpeak,1.0,>=2.1,0.5,NDI,100.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0
F_1,F_9,sex,oldpeak,1.0,<=2.0,0.5,NDI,71.429,50.0,0,0,0.17111348938666637,0.03363676197477629,0.5423261445466404,0.3541666666666667,0.029832307278064858,0.08625125492179074,21.429,50.0,0.21428571428571427,1.0,0.429,0.643,0.667,0.667,0.25,0.625
F_1,F_9,sex,oldpeak,1.0,<=2.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0,0,0,0,0,0
F_1,F_10,sex,ca,0.0,<=1.0,0.5,NDI,66.667,66.667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F_1,F_10,sex,ca,0.0,<=1.0,0.5,NII,0,0,0,0,0.098792419159368,0.008261660835909965,0.6689647316224497,0.09999999999999995,0.008810567757002372,0.04672943936263771,5.263,5.263,0.05263157894736842,1.0,0,0,0,0,0,0
F_1,F_10,sex,ca,0.0,>=2.0,0.5,NDI,50.0,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
F_1,F_10,sex,ca,0.0,>=2.0,0.5,NII,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
F_1,F_10,sex,ca,1.0,<=1.0,0.5,NDI,73.684,78.947,0,0,0.098792419159368,0.008261660835909965,0.6689647316224497,0.09999999999999995,0.008810567757002372,0.04672943936263771,5.263,21.053,0.05263157894736842,1.0,0.526,0.474,0.778,0.778,0.3,0.2
F_1,F_10,sex,ca,1.0,<=1.0,0.5,NII,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,0.0,0.0,0,0,0,0,0,0
F_1,F_10,sex,ca,1.0,>=2.0,0.5,NDI,100.0,100.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0,0
F_1,F_10,sex,ca,1.0,>=2.0,0.5,NII,0,0,0,0,0,0,0.0,0,0,0,0.0,50.0,0,0,0,0,0,0,0,0
F_1,F_11,sex,thal,1.0,3.0,0.5,NDI,81.818,72.727,0,0,0.098792419159368,0.014270141443844486,0.6099942813304187,0.22222222222222227,0.014728763757983517,0.060538687663051094,9.091,27.273,0.09090909090909091,1.0,0.182,0.273,0.5,0.5,0.111,0.222
F_1,F_11,sex,thal,1.0,3.0,0.5,NII,0,0,0,0,0.098792419159368,0.03139431117645787,0.5222329678670935,0.375,0.028488116043828067,0.08418929560683061,20.0,20.0,0.2,1.0,0,0,0,0,0,0
F_1,F_11,sex,thal,1.0,6.0,0.5,NDI,100.0,100.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0,0
F_1,F_11,sex,thal,1.0,7.0,0.5,NDI,75.0,75.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.833,0.833,0.889,0.889,0.667,0.667
F_1,F_11,sex,thal,1.0,7.0,0.5,NII,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
F_2,F_2,cp,cp,<=2.0,<=2.0,0.5,CDI,66.667,83.333,0.00046863499820449264,0.03448275862068965,0.098792419159368,0.026161925980381563,0.5345224838248488,0.35,0.02485546512263559,0.07848168799320526,16.667,16.667,0.16666666666666666,1.0,0.333,0.167,0,0,0.333,0.167
F_2,F_2,cp,cp,>=3.0,>=3.0,0.5,CDI,75.0,66.667,0.00046863499820449264,0.03448275862068965,0.13971357903482584,0.013080962990190778,0.6454972243679028,0.15476190476190477,0.013492280043292365,0.057884504277936955,8.333,33.333,0.08333333333333333,1.0,0.583,0.5,0.786,0.643,0.3,0.3
F_2,F_3,cp,trestbps,<=2.0,>=135.0,0.5,NDI,33.333,33.333,0,0,0.13971357903482584,0.0,0.4472135954999579,0.75,0.11857125932564855,0.17113993768875682,66.667,66.667,0.6666666666666666,1.0,0.667,0.667,0,0,0.667,0.667
F_2,F_3,cp,trestbps,<=2.0,>=135.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0,0,0,0,0
F_2,F_3,cp,trestbps,<=2.0,<=134.0,0.5,NDI,100.0,66.667,0,0,0.098792419159368,0.05232385196076311,0.0,0.4166666666666667,0.03979838739579626,0.09950562917154632,33.333,33.333,0.3333333333333333,1.0,0.0,0.333,0,0,0.0,0.333
F_2,F_3,cp,trestbps,<=2.0,<=134.0,0.5,NII,0,0,0,0,0.13971357903482584,0.0,0.5673052362514961,0.15555555555555556,0.02536297748992401,0.0791695512695567,7.143,7.143,0.14285714285714285,1.0,0,0,0,0,0,0
F_2,F_3,cp,trestbps,>=3.0,>=135.0,0.5,NDI,60.0,60.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.5,0.5,0.6,0.6,0.4,0.4
