ID,Feature,Category,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,total_variation_distortion,Distortion_kl,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_1,race,1,0.3,81.373,81.015,0.060006141877367185,0.3000307093868359,5.348494203636101,0.034370166652903766,0.28806415486367404,0.3026865671641396,0.04913212821562817,0.1110667695328342,1.2597170814205807,0.0029398455028518404,0.6619980960785097,0.06136025333472344,0.0034891633496869435,0.02879925139385518,2.866,18.985,0.144,0.142,0.418,0.405,0.052,0.052
F_2,sex,0,0.3,91.282,90.696,0.060006141877367185,0.3000307093868359,5.348494203636101,0.01595585576733682,0.35588721885741564,0.30078184884257864,0.05407884685558431,0.11588099066919127,0.7419564678671244,0.0035694841145167524,0.6279359569128127,0.12200840807882478,0.003395963323246439,0.027801152484945982,1.941,9.304,0.048,0.056,0.313,0.324,0.017,0.025
F_2,sex,1,0.3,77.633,77.909,0.060006141877367185,0.3000307093868359,5.348494203636101,0.01595585576733682,0.35588721885741564,0.30078184884257864,0.05407884685558431,0.11588099066919127,1.231899697226271,0.005275645344970381,0.6625956368794192,0.08646321272253649,0.004147740181097825,0.031206986993448045,3.311,22.091,0.179,0.16,0.428,0.401,0.07,0.054
F_3,capital-gain,<=3471,0.3,81.797,81.75,0.0016918114006128648,0.00010237510237510237,23.18565769696713,0.10981224198991223,0.9813760457114836,0.8022009519848435,inf,0.41613310858814606,0.17111348938666637,7.32029640365101e-05,0.7061080759554329,0.0014315379537900204,8.174623621857487e-05,0.00445949187641417,0.047,18.25,0.091,0.091,0.275,0.273,0.044,0.044
F_3,capital-gain,>=3674,0.3,95.215,95.455,0.0016918114006128648,0.00010237510237510237,23.18565769696713,0.10981224198991223,0.9813760457114836,0.8022009519848435,inf,0.41613310858814606,0.098792419159368,0.00037553003799591154,0.7046855524141463,0.006817650400513602,0.0004245554420084555,0.010283278904917476,0.239,4.545,0.775,0.773,0.972,0.972,0.115,0.104
F_4,capital-loss,<=1876,0.3,82.356,82.341,0.0020547565364872587,0.00010237510237510132,23.565391028344823,0.11361013656226696,0.9780510520850093,0.8876032697605218,inf,0.4149583436007887,0.22740951249784097,3.529565789588252e-05,0.7058122022188854,0.0014987751620717364,0.0001375383780649373,0.005827805839867051,0.075,17.659,0.116,0.116,0.364,0.364,0.045,0.045
F_4,capital-loss,>=1887,0.3,92.273,82.273,0.0020547565364872587,0.00010237510237510132,23.565391028344823,0.11361013656226696,0.9780510520850093,0.8876032697605218,inf,0.4149583436007887,0.48035758965758174,0.01712416973261338,0.6098722170020641,0.22216454271531705,0.016913798140569987,0.06486440506767724,10.909,17.727,0.755,0.645,0.931,0.798,0.106,0.085
F_5,hours-per-week,<=40,0.3,87.35,86.88,0.01799821676904571,0.00010237510237510242,1.9884633677673642,0.0007127742781452664,0.9766638248513494,0.14611025277849723,inf,1.1436335116076852,0.6334752392146341,0.00106934257872476,0.6739803994159513,0.026759001241587626,0.0013661354236810487,0.01826616544680874,1.259,13.12,0.071,0.081,0.347,0.361,0.01,0.019
F_5,hours-per-week,>=41,0.3,72.063,72.245,0.01799821676904571,0.00010237510237510242,1.9884633677673642,0.0007127742781452664,0.9766638248513494,0.14611025277849723,inf,1.1436335116076852,0.4862164670639076,0.0012223822970232542,0.6954500669578983,0.024410872232074048,0.0019098985720656736,0.021431686537565123,1.451,27.755,0.344,0.337,0.576,0.57,0.173,0.165
F_0,age,>=38,0.5,74.839,74.339,0.03714413478416213,0.00010237510237510246,2.4826760654908115e-31,4.44527891006879e-66,0.9685087289771407,0.20364922320547207,inf,0.7610374670215295,1.6145874222512977,0.013423251132260217,0.6210322250545789,0.17409737630760894,0.008869209164144293,0.04559528597684756,6.624,25.661,0.21,0.159,0.441,0.361,0.085,0.05
F_0,age,<=37,0.5,88.085,86.394,0.03714413478416213,0.00010237510237510246,2.4826760654908115e-31,4.44527891006879e-66,0.9685087289771407,0.20364922320547207,inf,0.7610374670215295,1.1318803408478892,0.004813061729392022,0.585199668265799,0.138716146179328,0.0062616793856843985,0.03859899351856797,4.491,13.606,0.078,0.096,0.367,0.368,0.026,0.046
F_1,race,0,0.5,86.944,87.733,0.10001023646227863,0.5000511823113932,6.904876325989816,0.056833697733202716,0.009578818749842661,0.5028059701492732,0.07143514913439608,0.13190854258791485,0.5404745605420251,0.0035868401606609836,0.6365510098195524,0.10687536687255639,0.003935734070865146,0.030628125014111912,2.654,12.267,0.083,0.082,0.346,0.369,0.036,0.031
F_1,race,1,0.5,81.373,80.848,0.10001023646227863,0.5000511823113932,6.904876325989816,0.056833697733202716,0.009578818749842661,0.5028059701492732,0.07143514913439608,0.13190854258791485,1.6133830225202823,0.005070645864871999,0.629652071244872,0.10170509404158432,0.005675399132714191,0.03673804303977019,4.633,19.152,0.144,0.14,0.418,0.399,0.052,0.052
F_2,sex,0,0.5,91.282,90.45,0.10001023646227863,0.5000511823113932,6.904876325989816,0.026175316258803302,0.000801213213607684,0.4993101333742041,0.08819392017876702,0.14682135411441455,1.016141611909237,0.00636775769718001,0.5612837648071825,0.18091338852527075,0.006006966725363378,0.037351762321670444,3.481,9.55,0.048,0.064,0.313,0.348,0.017,0.031
F_2,sex,1,0.5,77.633,77.802,0.10001023646227863,0.5000511823113932,6.904876325989816,0.026175316258803302,0.000801213213607684,0.4993101333742041,0.08819392017876702,0.14682135411441455,1.5691531083864925,0.009384061865223555,0.6299860009214953,0.13753386024988684,0.006432160826965032,0.038858489797192294,5.32,22.198,0.179,0.146,0.428,0.376,0.07,0.044
F_3,capital-gain,<=3471,0.5,81.893,81.85,0.0033223615677442433,0.00010237510237510207,29.943660016808508,0.18307485341791616,0.9721402363959127,0.8883752652317866,inf,0.5796259939173349,0.13971357903482584,6.832276643407593e-05,0.7061572495731094,0.0013526094227529189,7.635992124109589e-05,0.004309541590812356,0.044,18.15,0.089,0.089,0.271,0.268,0.044,0.044
F_3,capital-gain,>=3674,0.5,95.779,94.805,0.0033223615677442433,0.00010237510237510207,29.943660016808508,0.18307485341791616,0.9721402363959127,0.8883752652317866,inf,0.5796259939173349,0.17111348938666637,0.000509647908708732,0.6977968030017325,0.017181986682226966,0.001749966998846587,0.02073706742237265,0.974,5.195,0.747,0.75,0.974,0.969,0.089,0.114
F_4,capital-loss,<=1876,0.5,82.517,82.391,0.004044604549838983,0.00010237510237510187,30.442452551864548,0.189404677705174,0.9714511867627286,0.9311140002550422,inf,0.5778605585183285,0.23566840898796315,2.3132574558460347e-05,0.7049067208628907,0.002055121161080389,0.00020853711829795277,0.007148970704059912,0.126,17.609,0.115,0.115,0.363,0.36,0.044,0.045
F_4,capital-loss,>=1887,0.5,93.122,71.958,0.004044604549838983,0.00010237510237510187,30.442452551864548,0.189404677705174,0.9714511867627286,0.9311140002550422,inf,0.5778605585183285,0.6238332323013764,0.02785604696056448,0.5043535110623946,0.35869765138653076,0.03189628463112566,0.08898088652681006,21.164,28.042,0.762,0.582,0.94,0.691,0.1,0.175
F_5,hours-per-week,<=40,0.5,87.465,86.755,0.035652229502248625,0.00010237510237510203,2.4749507114199005,0.0011323829688868537,0.9565565850797715,0.20966047365995424,inf,1.2727382248323889,0.9167299018757891,0.002359275105073653,0.6409616492635561,0.05890385276173968,0.003601949687390636,0.029640055268460336,2.886,13.245,0.084,0.103,0.392,0.423,0.011,0.027
F_5,hours-per-week,>=41,0.5,73.67,73.505,0.035652229502248625,0.00010237510237510203,2.4749507114199005,0.0011323829688868537,0.9565565850797715,0.20966047365995424,inf,1.2727382248323889,0.6121290926972132,0.0022636262547379533,0.6829766247490235,0.044892165641877445,0.003597014129266495,0.029614598346105924,3.017,26.495,0.366,0.349,0.616,0.595,0.167,0.154
F_0,age,>=38,0.7,74.839,73.61,0.05376987171534562,0.00010237510237510233,3.046398132278951e-31,6.381126204565153e-66,0.9278941071938327,0.2665191550114603,inf,0.9069087503889143,1.8866156864887698,0.018367672755708633,0.5789314927831771,0.22360949403246777,0.011396064587536116,0.051831449684200046,9.061,26.39,0.21,0.138,0.441,0.321,0.085,0.039
F_0,age,<=37,0.7,87.177,84.144,0.05376987171534562,0.00010237510237510233,3.046398132278951e-31,6.381126204565153e-66,0.9278941071938327,0.2665191550114603,inf,0.9069087503889143,1.3432282688802566,0.008459317406412092,0.519813424680806,0.18768933898292173,0.009639894512055288,0.04796193545774612,7.898,15.856,0.09,0.129,0.384,0.41,0.032,0.074
F_1,race,0,0.7,86.944,88.02,0.14001433104719008,0.7000716552359505,8.169959847398292,0.07910440880422873,0.27404430535971397,0.7022089552238695,0.08692907492432346,0.1433290317253872,0.6321790471646566,0.005187088833231954,0.6112727891468127,0.13988650210469053,0.005313471044096966,0.03551757796905691,3.515,11.98,0.083,0.085,0.346,0.388,0.036,0.031
F_1,race,1,0.7,81.373,80.299,0.14001433104719008,0.7000716552359505,8.169959847398292,0.07910440880422873,0.27404430535971397,0.7022089552238695,0.08692907492432346,0.1433290317253872,1.8840222844121612,0.0070341406571040235,0.5967894103069089,0.13467756377111773,0.00768522812495449,0.04280699501984461,6.304,19.701,0.144,0.143,0.418,0.393,0.052,0.058
