"Swap 
 Percentage",Measurement,Feature,age,balance,default,campaign,job,education,loan,housing,duration,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
70%,"Hellinger
 distance",job,-,0.5273/1.0406,0.5162/0.1832,0.5571/0.8695,-,-,0.4653/0.7875,0.5179/0.9581,0.437/1.4516,,0.5097589624148767,0.5097589624148767,3.1550615534842894,8.311315879368777,[],"[1.0406360345185257, 0.18322471474865, 0.8695089025258728, 0.7875188262543474, 0.9581396029314213, 1.451577101160008]","[1.5678980014960056, 0.699388833316393, 1.4265789939816602, 1.2528408039244059, 1.476056593613096, 1.888552653037216]"
70%,"Wasserstein
 distance",job,-,0.0023/0.0043,0.0025/0.0011,0.0019/0.0088,-,-,0.0022/0.0074,0.0023/0.0048,0.0017/0.0384,,0.00257847835646968,0.00257847835646968,0.03493702054049466,0.07749800633119433,[],"[0.00425452754532318, 0.00108051791232496, 0.008774045060179234, 0.007430519753363429, 0.00476142690060061, 0.03841604719625854]","[0.006525358982843275, 0.0035645927965015, 0.010667973026779635, 0.00959107988206996, 0.0070257951683271, 0.04012320647467287]"
70%,"Total variation
 distance",job,-,0.0966/0.2431,0.0974/0.0193,0.0922/0.2055,-,-,0.0813/0.1692,0.0925/0.2124,0.0709/0.5183,,0.09622741778019092,0.09622741778019092,0.7800777928055743,3.2663353390886187,[],"[0.2430522863256773, 0.01929231591579342, 0.2054591265291315, 0.16919756770742608, 0.212380976803321, 0.5183184767694174]","[0.5827539515002151, 0.13599021907912015, 0.5031080854558552, 0.4196617007356419, 0.5172903439994397, 1.1075310383183465]"
70%,"Jensen-Shannon
 divergence",job,-,0.0558/0.0939,0.0548/0.0159,0.0553/0.0778,-,-,0.0494/0.0705,0.0547/0.0865,0.0456/0.1185,,0.05410704789419143,0.05410704789419143,0.2856621492347449,0.7787751965167307,[],"[0.0939273721024072, 0.01593486223518787, 0.07779173207856135, 0.07045726969493138, 0.08651612165096652, 0.11848284491905273]","[0.14970799669151197, 0.07076981391894858, 0.13306712458429698, 0.11987175021303417, 0.14126240445031166, 0.16409610665862728]"
10%,"Hellinger
 distance",education,-,0.2642/0.4017,0.2606/0.0357,0.268/0.3255,0.2616/0.2589,-,0.2448/0.282,0.2548/0.3542,0.1398/0.5502,,0.3155945527487888,0.3155945527487888,1.4197565777546721,3.902173289538383,[],"[0.40173573998710693, 0.03574343303494197, 0.325549948363076, 0.25894758271339263, 0.28201319095844135, 0.3541775455965971, 0.5501566093582109]","[0.6659449313607015, 0.29635275423645385, 0.5935741956723215, 0.5205538613319417, 0.5268481203689324, 0.6089583525416604, 0.6899410740263718]"
10%,"Wasserstein
 distance",education,-,0.001/0.0011,0.0008/0.0001,0.0009/0.0011,0.0009/0.0008,-,0.0007/0.0011,0.0009/0.001,0.0004/0.0063,,0.00105667576028284,0.00105667576028284,0.006835552864582568,0.01715155736650106,[],"[0.001105639085843985, 0.000147848258008245, 0.001104105857101555, 0.000755187304688435, 0.00108236726051823, 0.0010303871861691001, 0.0063322192562699055]","[0.002081803866952595, 0.0009970372635298, 0.00203539654736386, 0.00161412625460152, 0.00183085552041335, 0.0019005540280581101, 0.0066917838855818255]"
10%,"Total variation
 distance",education,-,0.023/0.042,0.0223/0.0022,0.0236/0.0305,0.0215/0.0197,-,0.0201/0.0247,0.0218/0.0338,0.0078/0.102,,0.028986638483053946,0.028986638483053946,0.15641365424703285,0.6497778812507229,[],"[0.041961455765567854, 0.002219095495314955, 0.030459319586975436, 0.019710290694144636, 0.024678211391467586, 0.03381650900977888, 0.10200914958470846]","[0.10689998938059912, 0.026765505223616096, 0.08455212502890495, 0.060874338344815745, 0.06944201208692889, 0.0893959711055252, 0.2118479400803328]"
10%,"Jensen-Shannon
 divergence",education,-,0.0248/0.0368,0.0245/0.0033,0.0253/0.0297,0.0242/0.0234,-,0.0228/0.0255,0.024/0.0323,0.0126/0.0496,,0.028744688517267726,0.028744688517267726,0.12907376102889362,0.35872924040539966,[],"[0.03679406497632273, 0.003292291650757035, 0.02973637466385256, 0.023382967451598617, 0.025546197131731768, 0.03231304614352047, 0.049593203005468586]","[0.06156750723786859, 0.027744515814624886, 0.05503445757330533, 0.04754051286939398, 0.04835303218920162, 0.056276717575643544, 0.062212497145361714]"
30%,"Hellinger
 distance",education,-,0.4595/0.6807,0.4415/0.1163,0.4647/0.5628,0.4447/0.4756,-,0.4326/0.505,0.4291/0.6227,0.284/0.9438,,0.5452984640764009,0.5452984640764009,2.4987420832960368,6.862936176968805,[],"[0.6807004115018848, 0.1163347348592588, 0.5627935453370106, 0.47559931485901774, 0.5049905888503363, 0.6226863146887752, 0.9437823283429887]","[1.140176774052799, 0.5578517294209672, 1.0274709433904108, 0.9202955635913126, 0.9376158743110516, 1.0517769052301877, 1.2277483869720762]"
30%,"Wasserstein
 distance",education,-,0.0027/0.0016,0.0022/0.0006,0.0029/0.0039,0.002/0.0011,-,0.002/0.0037,0.0018/0.0022,0.0008/0.0177,,0.00301133781310873,0.00301133781310873,0.018366497487217054,0.04506527674439387,[],"[0.00157751977401091, 0.00059909815366951, 0.0038826985743888503, 0.0010764807145634049, 0.003699410566667885, 0.002163193999657835, 0.017711917565258258]","[0.00431756501539122, 0.002838375114541765, 0.006740264284410271, 0.003037999209566915, 0.005744266745716365, 0.00391559087203978, 0.018471215502727553]"
30%,"Total variation
 distance",education,-,0.0645/0.1071,0.0594/0.0093,0.0676/0.0911,0.0578/0.0549,-,0.0565/0.0774,0.0532/0.0938,0.0252/0.2629,,0.08182682689866813,0.08182682689866813,0.4299964038295496,1.7769885128608254,[],"[0.10712070879284272, 0.009268166624462924, 0.09105977443501215, 0.05486187818948376, 0.07738027284054214, 0.09379459668579646, 0.2628537562936227]","[0.2787890764159493, 0.07797762776565424, 0.2497168738136801, 0.1675032469425448, 0.2112370746296203, 0.24083137217688336, 0.5509332411164933]"
30%,"Jensen-Shannon
 divergence",education,-,0.0427/0.0622,0.0412/0.0107,0.0432/0.0511,0.0415/0.0432,-,0.0403/0.0455,0.0401/0.0564,0.0268/0.0823,,0.0493064384081707,0.0493064384081707,0.22503504723551712,0.6273695261027976,[],"[0.062194984781350625, 0.010748535585397654, 0.05112085675751773, 0.043214665576286594, 0.045512187844160425, 0.056400967856273944, 0.08226501925370591]","[0.10485068121666, 0.05197537269895412, 0.09435990754254256, 0.08471621033203125, 0.08585580018921829, 0.09654944962320389, 0.10906210450018758]"
50%,"Hellinger
 distance",education,-,0.5773/0.8916,0.5743/0.1521,0.5954/0.7428,0.5755/0.6196,-,0.5614/0.654,0.5637/0.8144,0.3223/1.2245,,0.7076520250893453,0.7076520250893453,3.257135422391965,8.868843836807565,[],"[0.8916467217794752, 0.15207824688640864, 0.7427515892127209, 0.6196363709426433, 0.6540379800818533, 0.8143658171496224, 1.2244500685525161]","[1.4689473783668774, 0.7263780137228164, 1.3381845333289382, 1.1951531474059738, 1.2153977667067943, 1.3780473176092065, 1.5467356796669591]"
50%,"Wasserstein
 distance",education,-,0.0041/0.0021,0.0033/0.001,0.0048/0.0072,0.0029/0.0017,-,0.0031/0.0064,0.0026/0.0024,0.0011/0.0295,,0.004618972940866095,0.004618972940866095,0.02974507201441549,0.07212482195447936,[],"[0.002108953066263615, 0.000959066561340815, 0.0071629701755945045, 0.0017050503013848102, 0.006419470167461095, 0.00242838613824371, 0.029468301736810244]","[0.0061805827828537545, 0.004296872943599145, 0.011944082895573603, 0.00460112459007245, 0.00951917754746583, 0.0050351117987426, 0.030547869396171972]"
50%,"Total variation
 distance",education,-,0.0998/0.1772,0.0964/0.0155,0.1118/0.1575,0.0931/0.0908,-,0.091/0.1268,0.0876/0.1511,0.0341/0.4056,,0.13230008933827916,0.13230008933827916,0.6945785520784834,2.862949385483488,[],"[0.1771651650615141, 0.015479276351334425, 0.1575413135385283, 0.09082668272017298, 0.12683216859972138, 0.15112593267600044, 0.4055863865331367]","[0.4541093803031089, 0.12740504708674413, 0.4268890289640335, 0.274789459786873, 0.3446296495997876, 0.38981264423192763, 0.8453141755110134]"
50%,"Jensen-Shannon
 divergence",education,-,0.0536/0.0812,0.0536/0.0141,0.0554/0.067,0.0538/0.0561,-,0.0523/0.0587,0.0528/0.0738,0.0303/0.1034,,0.06392019057663592,0.06392019057663592,0.29106810178029685,0.8060813603123114,[],"[0.08118094678682183, 0.014137338806514254, 0.06703971377719666, 0.05605202855699527, 0.05867859403005284, 0.07383273741322398, 0.10337446303651696]","[0.13477635727280152, 0.06776296242239652, 0.12248906902472785, 0.10981596800727425, 0.11092901284991, 0.12658682782435618, 0.13372116291084507]"
70%,"Hellinger
 distance",education,-,0.666/1.0369,0.6903/0.1887,0.713/0.871,0.6861/0.7384,-,0.6759/0.771,0.6618/0.9684,0.414/1.4359,,0.8346155904439458,0.8346155904439458,3.839762807547876,10.517373248221896,[],"[1.0368541624125174, 0.18871108038902068, 0.8710110658426103, 0.7384026737238079, 0.7710004961680201, 0.9684274455697309, 1.435887510102153]","[1.7028421715408535, 0.879042410696639, 1.5839780677312454, 1.4244935771799159, 1.4468797029245422, 1.630238017236186, 1.849899300912513]"
70%,"Wasserstein
 distance",education,-,0.0044/0.0038,0.0053/0.0013,0.0072/0.0099,0.0046/0.0021,-,0.0047/0.0085,0.0047/0.0038,0.0016/0.0395,,0.00707119151820534,0.00707119151820534,0.04159717718892389,0.10152130389346437,[],"[0.0038287580288676503, 0.001325349087552905, 0.00990426562345864, 0.002133670195892965, 0.008507602365597281, 0.0038466715991948954, 0.03950565444087277]","[0.008222901972942766, 0.006650120991521705, 0.01710125354741534, 0.006690005214059795, 0.013252731542671672, 0.008517720471578491, 0.0410865701532746]"
70%,"Total variation
 distance",education,-,0.1259/0.2415,0.1394/0.0214,0.1597/0.2142,0.1335/0.1264,-,0.1324/0.1709,0.1261/0.2136,0.0585/0.5233,,0.1840981353818153,0.1840981353818153,0.9397777272779392,3.898143442526246,[],"[0.2415211279535061, 0.021405694082226888, 0.21424949783635797, 0.12638325964300587, 0.1709151135951526, 0.21356788341505734, 0.523316607266941]","[0.608916465321486, 0.1821823700845984, 0.5882357382434689, 0.38624636006672575, 0.4742706643563099, 0.5531981132216621, 1.105093731231995]"
70%,"Jensen-Shannon
 divergence",education,-,0.0623/0.0942,0.0641/0.0172,0.0659/0.0787,0.0641/0.0669,-,0.0628/0.0692,0.062/0.0879,0.0384/0.118,,0.07521256477359417,0.07521256477359417,0.3412843374114341,0.9516659942032449,[],"[0.09419873997636447, 0.017209126110024425, 0.0786848235042314, 0.06694222345394293, 0.06922658351516656, 0.08791629158152282, 0.11796575713442725]","[0.15646353679873168, 0.08134049866308157, 0.14460198542989128, 0.13099912209085335, 0.1319917301277715, 0.14994212773285354, 0.15632699336006195]"
10%,"Hellinger
 distance",loan,-,0.2661/0.352,0.2398/0.0247,0.1682/0.2584,-,-,-,0.2681/0.3098,0.1298/0.5267,,0.24824904283249366,0.24824904283249366,0.9840777583826663,2.5436020667019372,[],"[0.35202116808491957, 0.024698104789842, 0.2584193132124553, 0.30984750558136215, 0.526671339431766]","[0.6180907905833442, 0.2644527314338519, 0.4266446068414651, 0.5779775006674577, 0.6564364371758187]"
10%,"Wasserstein
 distance",loan,-,0.0014/0.0017,0.0012/0.0001,0.0007/0.0012,-,-,-,0.0016/0.0013,0.0004/0.0075,,0.00147947120152031,0.00147947120152031,0.007386708263865338,0.017202031650607304,[],"[0.0017424017910492098, 0.000105716693663585, 0.0011706548439861298, 0.001297808106703115, 0.007497892689288015]","[0.00315061129975766, 0.001348415522538555, 0.0018441056134373749, 0.002926069245602015, 0.0079328299692717]"
10%,"Total variation
 distance",loan,-,0.0261/0.0466,0.0231/0.0015,0.0116/0.0281,-,-,-,0.0301/0.035,0.008/0.116,,0.026974086433961326,0.026974086433961326,0.1404959646609674,0.5529379225278703,[],"[0.04656972480429776, 0.00146489942210973, 0.028081417077455772, 0.03496054425136173, 0.11596717089878712]","[0.11923735574689158, 0.026019226622304208, 0.06774060105131088, 0.09999846338757513, 0.2399422757197885]"
10%,"Jensen-Shannon
 divergence",loan,-,0.0227/0.0357,0.0208/0.0023,0.0124/0.0264,-,-,-,0.0236/0.0314,0.0112/0.0507,,0.02245241292197346,0.02245241292197346,0.09571288838000395,0.2372412165728676,[],"[0.03566944640280391, 0.00233912690393299, 0.026414596028732508, 0.03138578743771864, 0.05071199414287296]","[0.05837040563414624, 0.023100405980846117, 0.038836813772171866, 0.05499270610969456, 0.06194088507600878]"
30%,"Hellinger
 distance",loan,-,0.4671/0.5913,0.4257/0.0819,0.3599/0.4659,-,-,-,0.4856/0.5598,0.2497/0.9144,,0.4686183512182285,0.4686183512182285,1.7752285723887513,4.601187516646371,[],"[0.5912556856107514, 0.0819001146756476, 0.4658619115855259, 0.5598133275915955, 0.914389402877525]","[1.058335066347426, 0.5075651731641996, 0.825787411123267, 1.0453758396908885, 1.1641240263205905]"
30%,"Wasserstein
 distance",loan,-,0.0033/0.0021,0.0029/0.0002,0.0026/0.0028,-,-,-,0.0037/0.0027,0.0011/0.0199,,0.00370886233375411,0.00370886233375411,0.017573629956242034,0.041279875897102844,[],"[0.0021326714049386248, 0.000227753983786515, 0.002816385258122645, 0.00268612813850088, 0.01986659645962718]","[0.00540910215647921, 0.0030839007271850002, 0.0054480280717648395, 0.006396694583466615, 0.020942150358207175]"
30%,"Total variation
 distance",loan,-,0.0696/0.1067,0.0587/0.0056,0.0477/0.0758,-,-,-,0.0755/0.0987,0.0236/0.2868,,0.07613559803188566,0.07613559803188566,0.36291255623081264,1.422184525906415,[],"[0.10668235852733365, 0.005586499468720965, 0.07578962708301715, 0.0986946821280374, 0.28680074919074494]","[0.28295116135423115, 0.06986000517442971, 0.19928549540010992, 0.2729079967942026, 0.5971798671834417]"
30%,"Jensen-Shannon
 divergence",loan,-,0.0412/0.0592,0.0365/0.008,0.0328/0.0461,-,-,-,0.0437/0.0557,0.0231/0.0856,,0.04406699302952714,0.04406699302952714,0.17132341449899746,0.43180361682146085,[],"[0.05917650572572879, 0.007965440708941405, 0.04611870272859371, 0.055684651283750365, 0.0855675424919263]","[0.10036497763529108, 0.04447527911028798, 0.07888805614087817, 0.09936175576654185, 0.10871354816846182]"
50%,"Hellinger
 distance",loan,-,0.6066/0.7797,0.5497/0.1223,0.4771/0.6078,-,-,-,0.6197/0.7336,0.3301/1.1716,,0.6086960900149793,0.6086960900149793,2.3161733000741633,5.9981424995664545,[],"[0.7797125695885102, 0.12225982180570609, 0.6077827036967389, 0.733600496468667, 1.1715988285587458]","[1.3862999788335588, 0.6719363961184168, 1.0848739036768815, 1.3532882658206011, 1.5017439551169967]"
50%,"Wasserstein
 distance",loan,-,0.0047/0.0039,0.0046/0.0004,0.0052/0.0048,-,-,-,0.0049/0.0031,0.0017/0.0317,,0.006590896192968094,0.006590896192968094,0.028579661951771227,0.0650191980734959,[],"[0.003932159092848455, 0.000439231618456135, 0.004783284142076389, 0.003083683916298545, 0.031739172747926744]","[0.008609248419452969, 0.00502843311922368, 0.009938600804810734, 0.007975331068694962, 0.03346758466131356]"
50%,"Total variation
 distance",loan,-,0.1061/0.1814,0.0922/0.0096,0.0852/0.1279,-,-,-,0.1122/0.1557,0.0379/0.4248,,0.1258358790943362,0.1258358790943362,0.5755513796561883,2.2324807585112842,[],"[0.18144981847618052, 0.00957490353436184, 0.12790311334090515, 0.1556907361152076, 0.42481242965704913]","[0.46900560369691285, 0.11134562178095436, 0.34100387874344734, 0.42358800856308687, 0.8875376457268827]"
50%,"Jensen-Shannon
 divergence",loan,-,0.0535/0.0781,0.0461/0.0119,0.0428/0.0607,-,-,-,0.0541/0.073,0.0276/0.106,,0.056628800520837755,0.056628800520837755,0.22147121906349387,0.5537379019441632,[],"[0.07812539035585633, 0.01185193259335576, 0.060722552373843205, 0.07297360415552442, 0.10601135760673255]","[0.13159097188712232, 0.057990278088820416, 0.10347562597542753, 0.12707051995193874, 0.1336105060408542]"
70%,"Hellinger
 distance",loan,-,0.7196/0.9204,0.664/0.1395,0.5635/0.7256,-,-,-,0.7424/0.8863,0.3903/1.3874,,0.7211582083572002,0.7211582083572002,2.7507888031584278,7.139082725878312,[],"[0.9204318334941283, 0.13945046513089632, 0.7256144017838787, 0.8863485809832066, 1.3874159082103452]","[1.6400221814711777, 0.8034701635997394, 1.2890851728565063, 1.6287644214723445, 1.7777407864785442]"
70%,"Wasserstein
 distance",loan,-,0.0064/0.0057,0.0063/0.0005,0.0063/0.0077,-,-,-,0.0079/0.0043,0.0022/0.0441,,0.00860527716950804,0.00860527716950804,0.03972279623474233,0.09136726306998566,[],"[0.00574364203783402, 0.00048540978910337, 0.007660146639770235, 0.004274965303194225, 0.04407087436056672]","[0.012163764535530815, 0.006811794156648801, 0.013981788777706795, 0.012152681408421736, 0.04625723419167751]"
70%,"Total variation
 distance",loan,-,0.1441/0.2526,0.1307/0.0126,0.1101/0.1885,-,-,-,0.1623/0.2299,0.0539/0.5478,,0.17058277937204616,0.17058277937204616,0.7863547126120641,3.0642440189641245,[],"[0.25261030392446354, 0.01259618462260181, 0.18854943534751495, 0.22993933209686618, 0.5478486104885896]","[0.6493599157974639, 0.15588813667565776, 0.48716036176088195, 0.622189443724388, 1.149646161005733]"
70%,"Jensen-Shannon
 divergence",loan,-,0.0639/0.0933,0.0583/0.0136,0.0497/0.0732,-,-,-,0.0667/0.0896,0.0331/0.1202,,0.06778009924727416,0.06778009924727416,0.26274049471830546,0.661629454288252,[],"[0.0932837299575775, 0.0135525685811594, 0.07323232704739091, 0.08963155997563985, 0.12022060538029496]","[0.157212773603283, 0.07182906705579578, 0.12294220183707981, 0.15637364172429563, 0.1532717700677978]"
10%,"Hellinger
 distance",housing,-,-,0.3617/0.0445,0.3413/0.3143,-,-,-,-,0.1859/0.5515,,0.4245548670967791,0.4245548670967791,0.8797124315600009,1.799154363214946,[],"[0.0444565886217156, 0.3143364721852083, 0.5515220681195195]","[0.4061414142429996, 0.6556176525198063, 0.7373952964521402]"
10%,"Wasserstein
 distance",housing,-,-,0.0016/0.0002,0.001/0.0015,-,-,-,-,0.0006/0.006,,0.00191475512372504,0.00191475512372504,0.005735067598446587,0.01079031398692254,[],"[0.00018192666418834002, 0.001497553212181875, 0.00596114507307288]","[0.00174480325374055, 0.002469427900935175, 0.006576082832246815]"
10%,"Total variation
 distance",housing,-,-,0.0395/0.0027,0.0333/0.0314,-,-,-,-,0.0139/0.0993,,0.05093327959524789,0.05093327959524789,0.1176424192378591,0.35358409156215675,[],"[0.0027084601336867, 0.03144074829102989, 0.09926907086050582]","[0.04495496445962027, 0.09619289421024119, 0.2124362328922953]"
10%,"Jensen-Shannon
 divergence",housing,-,-,0.0326/0.0038,0.0311/0.0282,-,-,-,-,0.0165/0.0491,,0.03809235823747589,0.03809235823747589,0.07864689340965043,0.16128538946327478,[],"[0.0037716761827081753, 0.028214733354121474, 0.04912266080751944]","[0.036343029202167816, 0.05932441619823425, 0.06561794406287272]"
30%,"Hellinger
 distance",housing,-,-,0.6375/0.1217,0.583/0.5917,-,-,-,-,0.3194/0.9342,,0.7419904888298959,0.7419904888298959,1.565819978774905,3.1874832674433664,[],"[0.12171466748916229, 0.5917235075201293, 0.9342208048807263]","[0.7591764441334916, 1.1747146967128033, 1.2535921265970718]"
30%,"Wasserstein
 distance",housing,-,-,0.0041/0.0008,0.0026/0.0046,-,-,-,-,0.0011/0.0161,,0.00552266773244375,0.00552266773244375,0.016240808009576252,0.02923413505904568,[],"[0.0007514959617449151, 0.004617122541160475, 0.01606766205135961]","[0.004854928755031645, 0.007193470779632886, 0.01718573552438115]"
30%,"Total variation
 distance",housing,-,-,0.1133/0.0108,0.0924/0.1014,-,-,-,-,0.0323/0.2491,,0.14683431523800453,0.14683431523800453,0.32747976055470074,0.9606272816298451,[],"[0.01079475749623603, 0.101431303842455, 0.2490648292947014]","[0.13491801973482778, 0.29528322432115056, 0.5304260375738667]"
30%,"Jensen-Shannon
 divergence",housing,-,-,0.0573/0.0106,0.0527/0.053,-,-,-,-,0.0288/0.0811,,0.06638952950538678,0.06638952950538678,0.13877279398031112,0.2835913458963525,[],"[0.01059917835637802, 0.05302441187075051, 0.08114293872272013]","[0.06794300897377144, 0.10568778979502312, 0.10996054712755793]"
50%,"Hellinger
 distance",housing,-,-,0.8098/0.1471,0.7592/0.7748,-,-,-,-,0.4188/1.2039,,0.9600597017617842,0.9600597017617842,2.022981923032014,4.113640815092937,[],"[0.1471060810879116, 0.7748373336750759, 1.2039010277774724]","[0.9568967180641216, 1.5340176282397657, 1.6227264687890495]"
50%,"Wasserstein
 distance",housing,-,-,0.0059/0.0011,0.0039/0.0075,-,-,-,-,0.0017/0.0277,,0.009078981859725716,0.009078981859725716,0.02718489346885975,0.04759840871404977,[],"[0.00107484353557993, 0.00748450268657837, 0.027652476996109777]","[0.00693339031924871, 0.011359867777642285, 0.029305150617158778]"
50%,"Total variation
 distance",housing,-,-,0.175/0.0162,0.1501/0.1672,-,-,-,-,0.0537/0.3864,,0.23644443408752167,0.23644443408752167,0.5213454212187052,1.518452979521045,[],"[0.016189081126668774, 0.16717751628758853, 0.38643537684810964]","[0.2073569023316621, 0.48448460530841914, 0.8266114718809638]"
50%,"Jensen-Shannon
 divergence",housing,-,-,0.073/0.0132,0.0687/0.0693,-,-,-,-,0.0384/0.1014,,0.0857538427208204,0.0857538427208204,0.1777265327984072,0.36407551851683095,[],"[0.013226237406898916, 0.0693458048912379, 0.10137333785703675]","[0.08626925504214164, 0.13800343382942265, 0.1398028296452667]"
70%,"Hellinger
 distance",housing,-,-,0.9807/0.1922,0.9046/0.911,-,-,-,-,0.4986/1.4158,,1.1405466630112895,1.1405466630112895,2.4000192382539693,4.902747033306839,[],"[0.19219961611980033, 0.910966823645823, 1.4157787107197364]","[1.1728545355085698, 1.8155190767399558, 1.9143734210583132]"
70%,"Wasserstein
 distance",housing,-,-,0.0089/0.0017,0.0062/0.0107,-,-,-,-,0.0026/0.0366,,0.013002345542450338,0.013002345542450338,0.0374750538809431,0.06670143182463928,[],"[0.0017127793003604101, 0.010663369203284445, 0.036569268173340656]","[0.010645510781583305, 0.016855682210905876, 0.03920023883215009]"
70%,"Total variation
 distance",housing,-,-,0.2488/0.0247,0.2128/0.2262,-,-,-,-,0.081/0.5007,,0.323062100710395,0.323062100710395,0.6988228756761924,2.045623199201351,[],"[0.024695136606490715, 0.2261656063092738, 0.5006608070158303]","[0.2981994266045872, 0.6651411383734318, 1.0822826342233318]"
70%,"Jensen-Shannon
 divergence",housing,-,-,0.0882/0.0169,0.0816/0.0812,-,-,-,-,0.0454/0.1164,,0.1013115213185893,0.1013115213185893,0.20854896766967745,0.4296402933248339,[],"[0.016948413190709822, 0.08116344196527177, 0.11636303754619473]","[0.10510646088859069, 0.1627467498781815, 0.1617870825580617]"
10%,"Hellinger
 distance",duration,-,-,0.2299/0.0439,0.4653/0.2425,-,-,-,-,-,,0.22429086291485714,0.22429086291485714,0.36747782232653725,0.9816053661519539,[],"[0.04389519831584643, 0.24247872050751385]","[0.2738225619369269, 0.707782804215027]"
10%,"Wasserstein
 distance",duration,-,-,0.0033/0.0003,0.0054/0.0009,-,-,-,-,-,,0.00275214885391129,0.00275214885391129,0.0033580799113431376,0.00988423873839666,[],"[0.00033116716279502003, 0.000880694952068675]","[0.003606085797623495, 0.0062781529407731655]"
10%,"Total variation
 distance",duration,-,-,0.0713/0.0073,0.0991/0.0224,-,-,-,-,-,,0.06749225038471067,0.06749225038471067,0.08232718570421774,0.22972443762550918,[],"[0.007315379337417186, 0.022354491301596946]","[0.08595547283847804, 0.14376896478703113]"
10%,"Jensen-Shannon
 divergence",duration,-,-,0.0308/0.0054,0.0415/0.0196,-,-,-,-,-,,0.02958256861482625,0.02958256861482625,0.04208748663948219,0.09733845400929897,[],"[0.005368671784078745, 0.01964116426523314]","[0.036168805606509064, 0.061169648402789906]"
30%,"Hellinger
 distance",duration,-,-,0.3925/0.0625,0.81/0.4343,-,-,-,-,-,,0.3919150860008694,0.3919150860008694,0.6403077733827032,1.6992491933450111,[],"[0.062458690000282216, 0.43432668476338543]","[0.4549398224517473, 1.2443093708932638]"
30%,"Wasserstein
 distance",duration,-,-,0.0083/0.0008,0.0172/0.0031,-,-,-,-,-,,0.008016469057255575,0.008016469057255575,0.009945154040471313,0.029327715619255318,[],"[0.000803203402043365, 0.00305416656438811]","[0.009099130832845775, 0.020228584786409542]"
30%,"Total variation
 distance",duration,-,-,0.1627/0.0125,0.2633/0.0755,-,-,-,-,-,,0.16911200892746564,0.16911200892746564,0.2131360043083878,0.6021020387474891,[],"[0.01253647762949583, 0.07551151313234847]","[0.18775365590278872, 0.41434838284470044]"
30%,"Jensen-Shannon
 divergence",duration,-,-,0.0531/0.0083,0.0723/0.0441,-,-,-,-,-,,0.05414582482701017,0.05414582482701017,0.08033907861164674,0.17775062109312306,[],"[0.008274346825129016, 0.04411216074414413]","[0.06138832546312636, 0.1163622956299967]"
50%,"Hellinger
 distance",duration,-,-,0.5177/0.0948,1.0784/0.5695,-,-,-,-,-,,0.5305492256527216,0.5305492256527216,0.8627079904023354,2.260436151151553,[],"[0.09477266149211591, 0.5695448680071117]","[0.6125050348864677, 1.6479311162650854]"
50%,"Wasserstein
 distance",duration,-,-,0.0153/0.0008,0.0309/0.0055,-,-,-,-,-,,0.018399427402327025,0.018399427402327025,0.02155629134915165,0.05259510024045119,[],"[0.0007997489227450149, 0.005513978970904235]","[0.01613848760869274, 0.03645661263175846]"
50%,"Total variation
 distance",duration,-,-,0.2544/0.0122,0.4275/0.123,-,-,-,-,-,,0.27212476443903016,0.27212476443903016,0.33972963561801445,0.9522994551501295,[],"[0.01221006445249225, 0.12299967790547632]","[0.27879775832051146, 0.673501696829618]"
50%,"Jensen-Shannon
 divergence",duration,-,-,0.0718/0.0095,0.0995/0.0586,-,-,-,-,-,,0.07317512116500205,0.07317512116500205,0.10722259926945993,0.23936837424729718,[],"[0.009456288096818085, 0.05863866811209767]","[0.08124066449983393, 0.15812770974746324]"
70%,"Hellinger
 distance",duration,-,-,0.6195/0.1314,1.2677/0.7048,-,-,-,-,-,,0.6148945944601103,0.6148945944601103,1.0329880537983387,2.7233470311080934,[],"[0.1313668119183317, 0.704820106758125]","[0.7508562754830378, 1.9724907556250555]"
70%,"Wasserstein
 distance",duration,-,-,0.0244/0.0014,0.0433/0.0075,-,-,-,-,-,,0.023936323015875886,0.023936323015875886,0.02840298422319614,0.07661388800777597,[],"[0.0013944359472442599, 0.00753888646739625]","[0.02575258982014201, 0.05086129818763395]"
70%,"Total variation
 distance",duration,-,-,0.3406/0.0211,0.5352/0.1883,-,-,-,-,-,,0.3485943931686429,0.3485943931686429,0.4533247278441591,1.29467724262501,[],"[0.02112730167360534, 0.18833336767742717]","[0.38285492111950087, 0.911822321505509]"
70%,"Jensen-Shannon
 divergence",duration,-,-,0.0877/0.0147,0.1127/0.0741,-,-,-,-,-,,0.08879074342462169,0.08879074342462169,0.13319249745768974,0.2891407228067942,[],"[0.01473740657450943, 0.07406610149162664]","[0.10240636173831867, 0.18673436106847552]"
