"Swap 
 Percentage",Measurement,Feature,age,freetime,activities,romantic,famrel,goout,guardian,health,higher,internet,Pstatus,nursery,absences,Walc,Medu,Fjob,traveltime,famsup,studytime,sex,reason,schoolsup,paid,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
30%,"Total variation
 distance",health,-,0.0736/0.0474,0.0771/0.0127,0.0818/0.0347,0.0803/0.0686,0.092/0.0449,0.0844/0.0142,-,0.0145/0.1823,0.0876/0.0299,0.0667/0.0597,0.0848/0.051,0.0654/0.1205,0.1241/0.0978,0.0955/0.1349,0.0988/0.0478,0.097/0.0475,0.0818/0.0552,0.0846/0.1001,-,0.0857/0.0474,0.0745/0.0461,0.0674/0.0392,,0.08635594368972557,0.08635594368972557,0.7273359998527313,4.181322906198083,[],"[0.047373393779779005, 0.01266786985477487, 0.034745129686229156, 0.0685694249075872, 0.04490269353144777, 0.014173080968677249, 0.18230225724243934, 0.02985927845600118, 0.059736231626171823, 0.05103279799027085, 0.12054379314009245, 0.09784028676163889, 0.13485218621876444, 0.04783168996546729, 0.04748724937715006, 0.0552366295530833, 0.1000955251499203, 0.04735109098796161, 0.04613973825203765, 0.03921976487651732]","[0.16833572730509677, 0.10243360778438004, 0.1512811181456046, 0.2174709949331286, 0.18176075633351668, 0.11270012610295066, 0.37909144595003735, 0.1472781377907818, 0.18615462042287584, 0.1868600006603342, 0.306440176505853, 0.319784033094046, 0.3651599680155382, 0.19447646851408346, 0.19200056871477714, 0.19227824130428828, 0.28482994496393504, 0.18041197299560446, 0.16673400588740314, 0.14584099077384774]"
30%,"Jensen-Shannon
 divergence",health,-,0.0429/0.0296,0.0431/0.0093,0.0465/0.023,0.044/0.0368,0.0448/0.0268,0.0468/0.0102,-,0.0085/0.066,0.0466/0.0187,0.0371/0.0309,0.0456/0.026,0.0374/0.0552,0.0557/0.0521,0.0429/0.0607,0.0502/0.0286,0.0483/0.0284,0.0471/0.0326,0.0483/0.049,-,0.0458/0.0278,0.0422/0.0288,0.0392/0.0222,,0.04727196074331845,0.04727196074331845,0.3785756674664246,1.5256217361721636,[],"[0.029614040820553522, 0.009273458490695396, 0.022977293397080906, 0.036820550859935616, 0.026784672501842226, 0.01023168226472412, 0.06595322365770807, 0.0186968776536099, 0.030898992220054468, 0.02599361648977162, 0.05519582556648476, 0.05206220361047335, 0.06074210302592938, 0.028649136021591987, 0.02841319859031962, 0.03256549807835951, 0.04898736636834512, 0.027757094742985093, 0.02880562083241218, 0.022184958253335392]","[0.07253041252596931, 0.0523901835599809, 0.06946217528649758, 0.08086871127763993, 0.07154082111561383, 0.05705283293286896, 0.07444896037532683, 0.06529023551233504, 0.06799423017628767, 0.07164139633556947, 0.09256502284290104, 0.10776492606676843, 0.10366459658064428, 0.07885082917603842, 0.07670161141154581, 0.07964823892275037, 0.09731868047074121, 0.0735113516787042, 0.0710201150487683, 0.06135640487521209]"
50%,"Hellinger
 distance",health,-,0.1977/0.1495,0.2016/0.0566,0.1992/0.114,0.1876/0.1791,0.1875/0.1518,0.2083/0.0576,-,0.0198/0.3181,0.2048/0.08,0.1705/0.162,0.1917/0.1325,0.1639/0.2503,0.2294/0.2344,0.2016/0.2828,0.187/0.1319,0.2052/0.1432,0.1927/0.1779,0.1919/0.2147,-,0.2131/0.1518,0.1846/0.1503,0.1941/0.1173,,0.1976087287834741,0.1976087287834741,1.8254454403075053,6.98782913003976,[],"[0.14946507242081813, 0.05663150400045667, 0.11402730083821336, 0.17910475269907397, 0.15178368540264559, 0.05758044155477556, 0.3181437780569586, 0.07995137905036943, 0.1619792777756149, 0.13246916388724103, 0.25033405252511554, 0.23437760095252286, 0.2828056882731028, 0.13187338423201458, 0.14318589345737132, 0.17786459100742116, 0.21467442834920467, 0.15181991117286403, 0.1502609915095787, 0.11734052588270014]","[0.34719698130083243, 0.2582774909561759, 0.31317856346976564, 0.3667252829448583, 0.33931960130728867, 0.2658356393833532, 0.3379022618888322, 0.28474314158277697, 0.3325075465388698, 0.3241806244163745, 0.4141900246857536, 0.4637857284726962, 0.4844472609353457, 0.3188704038733712, 0.34837026566676665, 0.3705202258189071, 0.4065250655659157, 0.36488997897216024, 0.3348862071152924, 0.3114768351444248]"
50%,"Wasserstein
 distance",health,-,0.0045/0.0034,0.0046/0.0016,0.0056/0.0028,0.0066/0.0046,0.0058/0.0035,0.0055/0.0019,-,0.0006/0.0215,0.0053/0.0025,0.0054/0.0049,0.0041/0.004,0.007/0.0093,0.0082/0.0068,0.0067/0.0077,0.0067/0.0027,0.0048/0.005,0.0047/0.0052,0.0055/0.0078,-,0.0055/0.0039,0.0053/0.0057,0.0061/0.0033,,0.004542965206686679,0.004542965206686679,0.058535598666657446,0.2164048806702047,[],"[0.0033808115134227996, 0.00158577460147609, 0.002794484837059995, 0.00464367995965643, 0.0034771610860996247, 0.0018610048932797749, 0.021486679184400802, 0.002479553091402895, 0.004945471507538585, 0.003964911060502815, 0.009284487055542105, 0.006792983619357621, 0.007690892422431821, 0.0026922256338917346, 0.00500391510298955, 0.00520122607916052, 0.007814439152388955, 0.0039043373945357902, 0.0056801804194397, 0.0033010483053639303]","[0.007831350696663165, 0.00618727745169579, 0.008438239163398586, 0.011211664015684259, 0.00928601655699593, 0.0074046676050797955, 0.022069100300369186, 0.007771709170233615, 0.010344252950060636, 0.008050137084235916, 0.016332747797794134, 0.014988136298805264, 0.014371938780859156, 0.009367158305967106, 0.009763789723149976, 0.009875859031618615, 0.013334676523862134, 0.00937647311587019, 0.010989925588930971, 0.009409760508930234]"
50%,"Total variation
 distance",health,-,0.1179/0.0758,0.1257/0.0251,0.1258/0.0516,0.1281/0.1039,0.1242/0.0799,0.1327/0.026,-,0.011/0.3254,0.1324/0.0376,0.1025/0.0971,0.1138/0.0762,0.113/0.1894,0.1664/0.1581,0.1402/0.2104,0.1234/0.0654,0.1272/0.0865,0.1158/0.1016,0.1187/0.1509,-,0.1351/0.0771,0.1134/0.0916,0.1261/0.0589,,0.1210711143663052,0.1210711143663052,1.1652999886377904,6.570470869466163,[],"[0.07575500232866902, 0.02510174724287741, 0.05159825926613486, 0.10385721729078479, 0.0799488255726146, 0.026047930728692676, 0.3253562863593964, 0.03757105612053292, 0.0970800583622362, 0.07623127652718373, 0.18937073375393518, 0.15813993473146473, 0.2104102452393235, 0.06538003387237389, 0.08648184546688784, 0.10164107437653065, 0.15087705442272456, 0.07707595720664503, 0.09159362529050925, 0.05893958438345283]","[0.2693821862842444, 0.17588149268426204, 0.22898871277677585, 0.3358256758172749, 0.2840944175283602, 0.18479674126515, 0.6617261965145643, 0.2075764303859024, 0.29670752357026464, 0.2663082227557869, 0.4917616204109674, 0.4826599218838641, 0.5610134271436003, 0.25414032957049315, 0.3001941911156363, 0.31904749925011633, 0.4204870059463164, 0.28925093609881103, 0.2966150805845138, 0.2440132578792596]"
50%,"Jensen-Shannon
 divergence",health,-,0.059/0.0435,0.0601/0.0162,0.0594/0.0333,0.0555/0.0523,0.0555/0.0445,0.0619/0.017,-,0.0056/0.0885,0.061/0.0231,0.0504/0.0469,0.0575/0.0387,0.0483/0.0718,0.0672/0.0682,0.0587/0.082,0.0554/0.0387,0.0614/0.0418,0.0572/0.0514,0.0569/0.062,-,0.0633/0.0437,0.0547/0.0437,0.0577/0.034,,0.058980672248060285,0.058980672248060285,0.5296503880948472,2.0480733443952137,[],"[0.04345295881673629, 0.01623305276786343, 0.03332778058897427, 0.05231207306929091, 0.0445156492795478, 0.01703993196502378, 0.0885018922644876, 0.023126152981106905, 0.046905551125706754, 0.038679306343792554, 0.07176357992469343, 0.06816971740068622, 0.08200489497202751, 0.03874365050345337, 0.04181440972469809, 0.05139864232188172, 0.06196830502336409, 0.043662345010181014, 0.04367811559671801, 0.03404142201334024]","[0.10249623440273294, 0.07628753734925958, 0.0927010104160436, 0.10784505378143608, 0.09996948252361562, 0.07889301867419342, 0.09414386499920235, 0.08414726061112761, 0.09729041865566687, 0.09613711900300803, 0.12006376983211003, 0.13536512819546578, 0.14073679198171715, 0.09418020529264215, 0.10320996195807869, 0.10863196929262522, 0.11887342401708587, 0.10698549118736278, 0.09836381879218357, 0.09175178342965637]"
70%,"Hellinger
 distance",health,-,0.2347/0.1584,0.2368/0.0888,0.2311/0.13,0.2262/0.2076,0.2358/0.1881,0.2306/0.0734,-,0.0488/0.3752,0.2285/0.1068,0.2084/0.1862,0.2213/0.1531,0.2085/0.2956,0.2582/0.2665,0.2259/0.3287,0.227/0.1733,0.2374/0.1643,0.2372/0.1943,0.2342/0.2663,-,0.2324/0.1794,0.2292/0.1947,0.2167/0.1411,,0.22589587111466378,0.22589587111466378,2.161626857805613,8.280296982107812,[],"[0.1583596988670403, 0.08876220868913315, 0.129972539624551, 0.20764408785766714, 0.18809028720016624, 0.07336822304683871, 0.37520817919841654, 0.10675228973990562, 0.1861514182085533, 0.15309591064636163, 0.29557740544154876, 0.26647554044097616, 0.3286650453218042, 0.17327505903210483, 0.16429965438706692, 0.19430990325341396, 0.2662893582917167, 0.17943360843180092, 0.19467958518698544, 0.14105197051584625]","[0.39301169017848614, 0.32555251353521875, 0.3611003024244671, 0.43387786978810816, 0.4239224830708071, 0.30393282635375174, 0.42400331187866647, 0.3352229441054452, 0.39454212252022114, 0.37438824630111744, 0.504114589510538, 0.5247153464769914, 0.5545562017642721, 0.4003153090793007, 0.40165412282553575, 0.4314912389230071, 0.5004947136662565, 0.4117939473298082, 0.42390383993024583, 0.35770336244556744]"
70%,"Wasserstein
 distance",health,-,0.0087/0.0036,0.0081/0.0025,0.008/0.0025,0.0072/0.0072,0.0076/0.0046,0.0087/0.0026,-,0.0019/0.0272,0.0071/0.0032,0.0077/0.0058,0.0066/0.0051,0.0091/0.0125,0.0082/0.0078,0.0072/0.0089,0.0069/0.0029,0.0078/0.0052,0.0078/0.0049,0.0081/0.0094,-,0.0075/0.0051,0.0088/0.0083,0.0047/0.0044,,0.00569442674095839,0.00569442674095839,0.07264710577896494,0.2817200969590795,[],"[0.003617775501875385, 0.00251211358217013, 0.00247926203630746, 0.007192668778148554, 0.0046180518342305, 0.002642916588136465, 0.027177804614443725, 0.0031767933348631804, 0.00580456859024797, 0.00508549084305924, 0.01254561619902431, 0.007796419591338676, 0.008906189134134075, 0.0029479937489597747, 0.005236701953065605, 0.0049337664893977845, 0.009447836069362205, 0.00508896880523825, 0.008260547646261995, 0.0044338727357478205]","[0.012271495528818135, 0.010605348270226994, 0.010443462393090335, 0.014403924084530475, 0.012234069279715334, 0.011345606569783446, 0.029109540946884956, 0.010261807879219455, 0.01353039244041997, 0.01168486201246862, 0.02168573906571638, 0.016000477278900745, 0.016060959891135356, 0.00987997205871529, 0.01304542856986795, 0.01277431684655685, 0.017566467287887216, 0.012613200975191526, 0.01702498466931537, 0.009178040910635125]"
70%,"Total variation
 distance",health,-,0.1781/0.0837,0.1765/0.0409,0.1721/0.0606,0.1636/0.1438,0.1765/0.1073,0.172/0.0384,-,0.0352/0.4308,0.1656/0.0532,0.1468/0.1214,0.1565/0.0962,0.1685/0.2516,0.1999/0.1989,0.1659/0.2678,0.162/0.0919,0.177/0.1041,0.1735/0.1166,0.1687/0.2084,-,0.1665/0.1048,0.1775/0.135,0.1424/0.0797,,0.15665870833343595,0.15665870833343595,1.5242481530628518,8.714946619453585,[],"[0.08371293955824835, 0.04088056721423796, 0.06056544406301447, 0.14382966645741685, 0.10731199366176411, 0.03838865644870238, 0.43076701749392665, 0.05323901019949238, 0.12143967897784898, 0.09619413725253483, 0.2515849718815336, 0.19886103421310014, 0.26783636435182095, 0.09185740244433918, 0.10412875728845343, 0.1166374888606861, 0.20843767286180404, 0.10479746727093149, 0.13501107477695262, 0.0796975441820235]","[0.34552909300109547, 0.25822574344848503, 0.2931914931765677, 0.4512222613572808, 0.39108822785264985, 0.2488185202830959, 0.8967274979341398, 0.27203349878969896, 0.3897257319492208, 0.34886605662355014, 0.6717076357289391, 0.5975859179595231, 0.7015813603796845, 0.34568772653572133, 0.3852346678795279, 0.40676601719370403, 0.5855954237594214, 0.3760718944993845, 0.44752731938735857, 0.3017605317145345]"
70%,"Jensen-Shannon
 divergence",health,-,0.0701/0.0462,0.0712/0.0254,0.0699/0.0384,0.0684/0.0603,0.071/0.0549,0.0691/0.0217,-,0.0142/0.1036,0.0691/0.031,0.0626/0.0539,0.0667/0.0445,0.0637/0.0845,0.0768/0.0775,0.0672/0.095,0.0684/0.051,0.0716/0.0481,0.0712/0.0564,0.0697/0.0767,-,0.0701/0.052,0.0681/0.0558,0.0658/0.0407,,0.0685347918327032,0.0685347918327032,0.6273150532235131,2.4424738377554935,[],"[0.04618818676436167, 0.02541929086790195, 0.03841727344548954, 0.0602823997580651, 0.05489387728292137, 0.021708254680875012, 0.10364348506038865, 0.030998005448163123, 0.053924427403576836, 0.04447552048428686, 0.08452923815230191, 0.07745762716077127, 0.09504497879674871, 0.05095012496938108, 0.048133566561608235, 0.05640178370338635, 0.07667434983358007, 0.051985475429771486, 0.05576109681446788, 0.040671560163572706]","[0.11629838172137069, 0.0966511307643165, 0.10831477519612914, 0.12864019169964305, 0.1258753618778916, 0.09078106197265395, 0.11786466756619246, 0.10011386389334985, 0.11650907137417353, 0.11120460762033454, 0.1481973245306491, 0.15422137278579318, 0.16222750972558544, 0.11939168325469168, 0.1197517118791117, 0.12764635688273557, 0.14633020190852314, 0.12211325583255961, 0.12388353921441829, 0.10645776805537054]"
10%,"Hellinger
 distance",higher,-,0.0782/0.0099,-,0.1038/0.0049,0.0956/0.007,0.0996/0.0049,0.102/0.0148,-,-,0.0967/0.0,-,-,-,0.1032/0.0205,-,-,0.101/0.0267,0.0997/0.0049,0.1284/0.0353,-,0.1083/0.0879,-,0.099/0.0025,,0.10819921772298384,0.10819921772298384,0.21789057068034012,1.434946044265347,[],"[0.009879241915936799, 0.0049396209579683995, 0.00698567895174129, 0.0049396209579683995, 0.0148188628739052, 0.0, 0.020480974379043004, 0.02674416278361489, 0.0049396209579683995, 0.035299837252948205, 0.08788527440463376, 0.0024698104789841998]","[0.08808244211563898, 0.1087376674547527, 0.10258634275466355, 0.10458316421161894, 0.11684019619883966, 0.09673013699267256, 0.12370086072732775, 0.12776707604173793, 0.10460320897232116, 0.1636781940156991, 0.19619665505779177, 0.10144009972228284]"
10%,"Wasserstein
 distance",higher,-,0.0019/0.0002,-,0.0044/0.0004,0.0032/0.0009,0.0038/0.0001,0.0039/0.0015,-,-,0.0036/0.0,-,-,-,0.0042/0.0011,-,-,0.0036/0.0002,0.0029/0.0006,0.0069/0.0006,-,0.003/0.0029,-,0.0036/0.0,,0.006125852455988701,0.006125852455988701,0.010332666172551467,0.053440729044327256,[],"[0.00016611211680712, 0.00043603209967302503, 0.0008720641993460501, 8.008752851137e-05, 0.00146438361193932, 0.0, 0.00112277298425121, 0.00016780330351669502, 0.00060373675339342, 0.000579195158602615, 0.00287878436298626, 4.2655314098445e-05]","[0.002028213241293725, 0.00479200420201937, 0.00411885928723061, 0.00392854454587257, 0.00534505078913235, 0.003647209080875195, 0.0053283745577468655, 0.0037691036784396354, 0.0035068306392159257, 0.00747578617446242, 0.005887710577032185, 0.003613042271006405]"
10%,"Total variation
 distance",higher,-,0.0272/0.0022,-,0.0784/0.014,0.0596/0.0196,0.0631/0.001,0.0628/0.0186,-,-,0.0596/0.0,-,-,-,0.0635/0.0198,-,-,0.0742/0.0055,0.0497/0.0146,0.116/0.034,-,0.0531/0.0532,-,0.0626/0.0006,,0.09372208498499322,0.09372208498499322,0.18530571324509132,1.1360714560853316,[],"[0.002189601829432335, 0.013970588235294115, 0.019607843137254898, 0.0010446343779677099, 0.01864560914212455, 0.0, 0.019758716291734757, 0.005512606143116265, 0.014583333333333334, 0.03400861851329859, 0.053245837936789844, 0.00059986757984978]","[0.03153324365445145, 0.10629268530519359, 0.09884196809622868, 0.0652359390418461, 0.10013645609360614, 0.05958482113263479, 0.10299649117941623, 0.08520334867046916, 0.07883804578747058, 0.18406487077456343, 0.1595492869141562, 0.06379429943529516]"
10%,"Jensen-Shannon
 divergence",higher,-,0.0168/0.0021,-,0.0277/0.0024,0.0242/0.0033,0.0257/0.0011,0.0258/0.006,-,-,0.0249/0.0,-,-,-,0.0269/0.0067,-,-,0.0261/0.0058,0.0227/0.0028,0.0375/0.0116,-,0.0246/0.0229,-,0.0249/0.0005,,0.032271238122254284,0.032271238122254284,0.06491839063201818,0.37289306615246415,[],"[0.0021418102509044848, 0.002431002092885065, 0.00332721029192263, 0.001051024841358175, 0.006023773649024915, 0.0, 0.006693243984156544, 0.0058254263809376094, 0.0028214134242004153, 0.011572699792463979, 0.022872612056163855, 0.00053408825551013]","[0.0188967187033828, 0.030105942501740503, 0.02750460601629503, 0.026704154226275048, 0.03180393674763747, 0.024903322561150815, 0.03358004256309827, 0.03196267884235209, 0.025521071714506113, 0.04910173616542374, 0.047423221556591115, 0.02538563455401117]"
30%,"Hellinger
 distance",higher,-,0.163/0.0254,-,0.1715/0.0099,0.1765/0.0198,0.1801/0.0169,0.1798/0.034,-,-,0.165/0.0056,-,-,-,0.1786/0.0369,-,-,0.1841/0.0689,0.1664/0.0099,0.1821/0.0389,-,0.1815/0.1385,-,0.1607/0.0124,,0.18882403817495613,0.18882403817495613,0.39738044196609035,2.50645281154281,[],"[0.025420595337011402, 0.009879241915936799, 0.019758483831873598, 0.01686492086767809, 0.03399357878674379, 0.0056129889122110855, 0.03694198605829224, 0.06892891984170663, 0.009879241915936799, 0.03891589076431312, 0.1384932780517604, 0.012423681298804515]","[0.18842869152025907, 0.1814000156959213, 0.19625030767138965, 0.1969586389492492, 0.21383879984865733, 0.17057725168912288, 0.21550620110835259, 0.25307202053152317, 0.176248153486191, 0.2210337312429362, 0.3200343864373766, 0.1731046133618313]"
30%,"Wasserstein
 distance",higher,-,0.0072/0.0016,-,0.0082/0.0005,0.0087/0.001,0.0103/0.002,0.0093/0.003,-,-,0.0074/0.0003,-,-,-,0.0088/0.0008,-,-,0.0092/0.0028,0.0073/0.0016,0.0108/0.0016,-,0.0055/0.0041,-,0.007/0.0008,,0.011366120725667306,0.011366120725667306,0.021412572435689482,0.11994958934023352,[],"[0.00164048547262339, 0.0005114991938472001, 0.0010145132981767852, 0.0020422319770399848, 0.002981291210144515, 0.00030186837669671, 0.000825389032971105, 0.0027524435655654302, 0.0015855712715382698, 0.0015668514508407852, 0.0041145961843095154, 0.000756162386290665]","[0.008890043901061686, 0.008730040041175915, 0.00971778371872096, 0.012389683132010887, 0.012273866740203124, 0.007672426935191845, 0.009673332887768085, 0.01198656970983526, 0.00891657529615239, 0.012322158194713792, 0.009642200306228825, 0.00773490847717074]"
30%,"Total variation
 distance",higher,-,0.1154/0.0226,-,0.1249/0.015,0.1389/0.03,0.1646/0.0463,0.1502/0.0313,-,-,0.1238/0.0147,-,-,-,0.1381/0.027,-,-,0.1604/0.0697,0.1176/0.0301,0.1435/0.0432,-,0.1314/0.0938,-,0.1036/0.0166,,0.1804292784649688,0.1804292784649688,0.4005474853197256,2.4928346580804863,[],"[0.02263242099102206, 0.014990401755107635, 0.030023193923067258, 0.04629375896700143, 0.03133223922299671, 0.01467391304347826, 0.026992401906787304, 0.06971447154788823, 0.03005050505050505, 0.043169949078004956, 0.09380492163700897, 0.01655823658664567]","[0.16062198300327693, 0.15485188195504826, 0.19891893949068923, 0.25720301494855985, 0.21283660577408403, 0.15315710160447424, 0.19209484398705198, 0.299865804801592, 0.1777476276365963, 0.22988079433435232, 0.31897966979417547, 0.13667639075058555]"
30%,"Jensen-Shannon
 divergence",higher,-,0.0379/0.0084,-,0.0392/0.0035,0.0427/0.0069,0.0478/0.0092,0.0464/0.0106,-,-,0.0392/0.0033,-,-,-,0.0441/0.0099,-,-,0.0484/0.0209,0.0382/0.0064,0.0427/0.0135,-,0.0434/0.0351,-,0.036/0.0047,,0.05206558468099313,0.05206558468099313,0.118299904416612,0.6384065273051286,[],"[0.008403171025154555, 0.00345282441098545, 0.0069486802257561, 0.00917572204979622, 0.010600014875069445, 0.0033308304169452803, 0.009909550680737665, 0.02092697985124889, 0.00639490331295752, 0.01352735723964782, 0.03509111331960844, 0.004707492063330385]","[0.04626546270878328, 0.042636752525532035, 0.04961038400240676, 0.05695994632289913, 0.0569980117218014, 0.04257820868688429, 0.054002638528110866, 0.06935115336340787, 0.04458309559288547, 0.056192840512223466, 0.07852959160864122, 0.04069844173155276]"
50%,"Hellinger
 distance",higher,-,0.2293/0.0435,-,0.2385/0.0099,0.2344/0.0259,0.2443/0.0288,0.2313/0.0533,-,-,0.2364/0.0112,-,-,-,0.2277/0.0499,-,-,0.2511/0.0844,0.235/0.0099,0.2651/0.0519,-,0.259/0.1781,-,0.2251/0.0056,,0.2541758021930377,0.2541758021930377,0.5303441789424156,3.4293477656053737,[],"[0.04345160253385266, 0.009879241915936799, 0.02586419111900517, 0.02879022077738778, 0.053324855382449333, 0.011192175316177468, 0.04988372973598039, 0.08444347185333957, 0.009879241915936799, 0.05187288258871844, 0.17814215144776027, 0.0056129889122110855]","[0.2727023169207887, 0.24838355474246657, 0.2602246938585046, 0.2730696394943792, 0.28462544041335885, 0.24758471223385195, 0.2775616469040958, 0.3355667324174251, 0.24484557042881788, 0.3169581169865928, 0.43712386773950773, 0.23070147346558478]"
50%,"Wasserstein
 distance",higher,-,0.013/0.0015,-,0.0156/0.0008,0.0153/0.001,0.0176/0.0024,0.0123/0.0032,-,-,0.0151/0.0013,-,-,-,0.0115/0.0033,-,-,0.0157/0.0033,0.0149/0.0015,0.0191/0.0023,-,0.0156/0.0041,-,0.0129/0.0001,,0.019219226360209903,0.019219226360209903,0.0316656698649985,0.20349820390224155,[],"[0.00151785016544808, 0.0007889741663663951, 0.0010145132981767852, 0.00244001680983685, 0.00323274012559732, 0.00131724382558564, 0.003270847452736735, 0.003310125985660605, 0.0014758009527394702, 0.00234503314068786, 0.004051775144446115, 0.00012796594229534]","[0.014551264041450736, 0.01637968862674774, 0.016271309049175668, 0.020019890082130537, 0.01551850367355784, 0.016418650374602377, 0.014810842441538026, 0.01897991997469428, 0.01633932598241041, 0.021455387367065832, 0.019685371830252155, 0.013068050458615909]"
50%,"Total variation
 distance",higher,-,0.2094/0.0448,-,0.222/0.0158,0.2133/0.0327,0.2411/0.0449,0.1838/0.0576,-,-,0.228/0.0288,-,-,-,0.1951/0.0653,-,-,0.2569/0.0703,0.2228/0.0259,0.2715/0.0592,-,0.2461/0.1322,-,0.1979/0.0019,,0.2610054672600972,0.2610054672600972,0.5507232294725198,3.8467213975397194,[],"[0.044761420019016646, 0.01580375633792758, 0.032721731579787854, 0.044931599163660324, 0.05756639864369613, 0.02882575757575757, 0.06530407960503598, 0.07030888289743785, 0.025883838383838387, 0.05924037031894117, 0.13216212435188915, 0.0019255655478565702]","[0.29888462235117585, 0.2536031298810671, 0.2787034694567053, 0.3310105599456682, 0.29891187426625176, 0.28561539269486763, 0.3257307792139892, 0.3974929439145327, 0.274606893669813, 0.3900273917179695, 0.510408465670211, 0.20172587475746737]"
50%,"Jensen-Shannon
 divergence",higher,-,0.0538/0.0125,-,0.0558/0.0041,0.0551/0.0083,0.0626/0.0118,0.0515/0.0147,-,-,0.0584/0.0066,-,-,-,0.0515/0.0164,-,-,0.0659/0.0217,0.0548/0.0061,0.0664/0.0176,-,0.0656/0.0448,-,0.0505/0.0012,,0.06638484867328731,0.06638484867328731,0.14931607872308006,0.8576913899883308,[],"[0.012492497334417905, 0.004078943755708355, 0.00831823787341028, 0.011751874072512315, 0.014709972406822942, 0.006641560066442726, 0.016356888116791396, 0.02174057852035745, 0.00614783400703572, 0.0176240961817051, 0.0447734453332363, 0.00122653243114497]","[0.0662839227468149, 0.059831900738929425, 0.06341867901778264, 0.07432804396411048, 0.06624806848908038, 0.0650229142608925, 0.06789949123508707, 0.08761966073688852, 0.060928091990363004, 0.08403198532368107, 0.11039599947289891, 0.05168263201180197]"
70%,"Hellinger
 distance",higher,-,0.2835/0.0513,-,0.2846/0.0148,0.2766/0.03,0.285/0.0267,0.298/0.0619,-,-,0.2761/0.013,-,-,-,0.2865/0.0572,-,-,0.2936/0.1076,0.2987/0.0175,0.3069/0.0698,-,0.3251/0.2166,-,0.2699/0.0223,,0.31340083841741406,0.31340083841741406,0.657789967805926,4.173158361868616,[],"[0.05128478645601657, 0.0148188628739052, 0.02995630710655095, 0.02674416278361489, 0.06185122308430657, 0.013022420349163686, 0.05722646084245394, 0.10762181644802545, 0.017538288821920774, 0.06981519199272063, 0.21662204001575697, 0.022276698002588406]","[0.3347752193758615, 0.29946855818114626, 0.3065327678212762, 0.3117388109022773, 0.359802562141462, 0.2890774862744028, 0.3436985575410235, 0.4012645459141817, 0.3162234160025415, 0.3766890900432097, 0.5417602571894162, 0.2921270904818176]"
70%,"Wasserstein
 distance",higher,-,0.0206/0.0036,-,0.0219/0.0016,0.0185/0.0015,0.0197/0.0023,0.0229/0.0063,-,-,0.0183/0.0015,-,-,-,0.0196/0.0029,-,-,0.0197/0.0047,0.0245/0.0017,0.0253/0.0041,-,0.021/0.006,-,0.0174/0.001,,0.029830827516824095,0.029830827516824095,0.048467138665886145,0.2867055826037268,[],"[0.0035557265049725403, 0.001642568127029125, 0.00154107912573223, 0.002272312156116455, 0.006263841413684951, 0.0015481787506609, 0.00291038230406948, 0.0047370453715871, 0.0017211793408145701, 0.00407910301614003, 0.005994335016120895, 0.00100687117119583]","[0.0241430501256123, 0.023590970187637193, 0.02004241522893857, 0.022019704539940618, 0.029150238954495884, 0.019877648926485674, 0.022517227955519, 0.02438942484551997, 0.02627098970565923, 0.029339044611820672, 0.026995974182562225, 0.018368893339535442]"
70%,"Total variation
 distance",higher,-,0.2911/0.0639,-,0.3002/0.0313,0.2751/0.0345,0.2996/0.0481,0.3177/0.0792,-,-,0.2774/0.0313,-,-,-,0.2904/0.0693,-,-,0.2975/0.1063,0.3249/0.035,0.3164/0.0826,-,0.3711/0.1855,-,0.2647/0.0221,,0.36539699710006496,0.36539699710006496,0.7599225579445748,5.204309603195162,[],"[0.06385455723564241, 0.03131948933419521, 0.034462866410128065, 0.048062262924621645, 0.07920347437256683, 0.031277803611563196, 0.06931254697144859, 0.10631479389704901, 0.03503472222222222, 0.08255504496140795, 0.18554693932222627, 0.022106620425948152]","[0.4188460656859412, 0.3628720619654686, 0.34400364293561003, 0.39567867794517997, 0.4761556116970074, 0.33999415374297903, 0.4290724286466121, 0.5101374167823199, 0.3949304516295466, 0.48154189738273223, 0.7422066171773158, 0.3088705776044486]"
70%,"Jensen-Shannon
 divergence",higher,-,0.0682/0.0179,-,0.0677/0.0072,0.0619/0.0096,0.07/0.0114,0.0761/0.0209,-,-,0.0651/0.0067,-,-,-,0.0693/0.0194,-,-,0.073/0.0287,0.0752/0.0101,0.0712/0.0228,-,0.0898/0.0521,-,0.0618/0.0068,,0.08522164767648768,0.08522164767648768,0.1921148076788306,1.0631993810446954,[],"[0.0179130529536494, 0.007229947495823741, 0.009602015060159824, 0.011394861664775916, 0.02087123108164496, 0.006737743624279405, 0.01941082750506978, 0.028728845465101942, 0.010085623232578085, 0.022841460456604745, 0.0521451100728504, 0.006825601392147646]","[0.08606352533481254, 0.07497900058679344, 0.07153049269760438, 0.08140494943440779, 0.09696641800909844, 0.07185439139034219, 0.08869291324175564, 0.10175389919059133, 0.08530205867913601, 0.09405052420510139, 0.14197137251722022, 0.06862983575783198]"
10%,"Hellinger
 distance",internet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,0.012349052394921,0.012349052394921,0.012349052394921,0,[],[],[]
