"Swap 
 Percentage",Measurement,Feature,sex,age,health,Pstatus,nursery,Medu,Fjob,schoolsup,absences,activities,higher,traveltime,paid,guardian,Walc,freetime,famsup,romantic,studytime,goout,reason,famrel,internet,AVG
50%,Jensen-Shannon divergence,Medu,-,-,-,-,-,-,0.11,0.11,0.15,0.1,0.13,0.12,0.12,0.1,0.14,0.12,0.12,0.1,0.14,0.13,0.12,0.13,0.1,2.029
50%,Hellinger distance,Fjob,-,-,-,-,-,-,-,0.27,0.34,0.19,0.33,0.29,0.24,0.18,0.32,0.27,0.28,0.22,0.36,0.29,0.28,0.3,0.19,4.364
50%,Wasserstein distance,Fjob,-,-,-,-,-,-,-,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.151
50%,Total variation distance,Fjob,-,-,-,-,-,-,-,0.24,0.45,0.15,0.66,0.27,0.19,0.13,0.37,0.23,0.24,0.17,0.35,0.26,0.22,0.28,0.14,4.317
50%,Jensen-Shannon divergence,Fjob,-,-,-,-,-,-,-,0.08,0.1,0.06,0.09,0.09,0.07,0.06,0.1,0.08,0.08,0.07,0.11,0.09,0.09,0.09,0.06,1.304
50%,Hellinger distance,schoolsup,-,-,-,-,-,-,-,-,0.34,0.17,0.3,0.23,0.2,0.17,0.28,0.24,0.27,0.2,0.36,0.26,0.25,0.26,0.18,3.701
50%,Wasserstein distance,schoolsup,-,-,-,-,-,-,-,-,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.214
50%,Total variation distance,schoolsup,-,-,-,-,-,-,-,-,0.54,0.14,0.71,0.23,0.22,0.15,0.37,0.24,0.31,0.24,0.47,0.32,0.25,0.33,0.14,4.648
50%,Jensen-Shannon divergence,schoolsup,-,-,-,-,-,-,-,-,0.1,0.05,0.09,0.07,0.06,0.05,0.08,0.07,0.08,0.06,0.11,0.08,0.07,0.08,0.05,1.109
50%,Hellinger distance,absences,-,-,-,-,-,-,-,-,-,0.23,0.37,0.36,0.27,0.26,0.41,0.33,0.35,0.28,0.39,0.34,0.32,0.34,0.3,4.575
50%,Wasserstein distance,absences,-,-,-,-,-,-,-,-,-,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.181
50%,Total variation distance,absences,-,-,-,-,-,-,-,-,-,0.17,0.5,0.3,0.23,0.17,0.38,0.25,0.35,0.17,0.44,0.28,0.27,0.28,0.29,4.063
50%,Jensen-Shannon divergence,absences,-,-,-,-,-,-,-,-,-,0.06,0.09,0.09,0.07,0.06,0.1,0.08,0.09,0.06,0.1,0.08,0.08,0.09,0.08,1.133
50%,Hellinger distance,activities,-,-,-,-,-,-,-,-,-,-,0.34,0.21,0.17,0.11,0.25,0.23,0.22,0.13,0.28,0.21,0.21,0.22,0.15,2.724
50%,Wasserstein distance,activities,-,-,-,-,-,-,-,-,-,-,0.02,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.091
50%,Total variation distance,activities,-,-,-,-,-,-,-,-,-,-,0.62,0.19,0.14,0.07,0.29,0.21,0.2,0.1,0.31,0.19,0.17,0.2,0.11,2.799
50%,Jensen-Shannon divergence,activities,-,-,-,-,-,-,-,-,-,-,0.09,0.06,0.05,0.03,0.07,0.07,0.06,0.04,0.08,0.06,0.06,0.07,0.04,0.788
