ID,Features,Swap,Swap_ratio,Distance_measure,Value
F_2,sex,0.1,swat_0.1,wasserstein,0.0001536809145351005
F_2,sex,0.1,swat_0.1,cramers_v,0.9994926179421663
F_2,sex,0.1,swat_0.1,JS_Divergence,0.001613942249523979
F_2,sex,0.2,swat_0.2,Hellinger,0.03497097674670431
F_2,sex,0.2,swat_0.2,wasserstein,0.0003951946774819343
F_2,sex,0.2,swat_0.2,cramers_v,0.9982156216066246
F_2,sex,0.2,swat_0.2,JS_Divergence,0.0063603430978354
F_2,sex,0.4,swat_0.4,Hellinger,0.05049444338149408
F_2,sex,0.4,swat_0.4,wasserstein,0.00054995708329989
F_2,sex,0.4,swat_0.4,cramers_v,0.9881935194352597
F_2,sex,0.4,swat_0.4,JS_Divergence,0.009473546022655346
F_2,sex,0.6,swat_0.6,Hellinger,0.06251247671199549
F_2,sex,0.6,swat_0.6,wasserstein,0.000688880488070685
F_2,sex,0.6,swat_0.6,cramers_v,0.9792471955498911
F_2,sex,0.6,swat_0.6,JS_Divergence,0.011570579350183754
F_2,sex,0.8,swat_0.8,Hellinger,0.08496068285378909
F_2,sex,0.8,swat_0.8,wasserstein,0.0008045177572090451
F_2,sex,0.8,swat_0.8,cramers_v,0.9659687857401291
F_2,sex,0.8,swat_0.8,JS_Divergence,0.015629914322203065
F_2,sex,0.95,swat_0.95,Hellinger,0.09094554205775934
F_2,sex,0.95,swat_0.95,wasserstein,0.0008660008971825099
F_2,sex,0.95,swat_0.95,cramers_v,0.9587468104041383
F_2,sex,0.95,swat_0.95,JS_Divergence,0.016463649646550622
F_3,capital-gain,0.01,swat_0.01,Hellinger,0.0
F_3,capital-gain,0.01,swat_0.01,wasserstein,0.0
F_3,capital-gain,0.01,swat_0.01,cramers_v,0.8125
F_3,capital-gain,0.01,swat_0.01,JS_Divergence,0.0
F_3,capital-gain,0.05,swat_0.05,Hellinger,0.00461475458029241
F_3,capital-gain,0.05,swat_0.05,wasserstein,0.00012513692630375
F_3,capital-gain,0.05,swat_0.05,cramers_v,1.0
F_3,capital-gain,0.05,swat_0.05,JS_Divergence,0.001247406872809885
F_3,capital-gain,0.1,swat_0.1,Hellinger,0.03522566343689999
F_3,capital-gain,0.1,swat_0.1,wasserstein,0.001819198440634545
F_3,capital-gain,0.1,swat_0.1,cramers_v,0.9990716135331672
F_3,capital-gain,0.1,swat_0.1,JS_Divergence,0.010608884587157686
F_3,capital-gain,0.2,swat_0.2,Hellinger,0.08426370667295505
F_3,capital-gain,0.2,swat_0.2,wasserstein,0.00127064934680381
F_3,capital-gain,0.2,swat_0.2,cramers_v,0.9973021743609609
F_3,capital-gain,0.2,swat_0.2,JS_Divergence,0.013335073391201355
F_3,capital-gain,0.4,swat_0.4,Hellinger,0.1574028658013475
F_3,capital-gain,0.4,swat_0.4,wasserstein,0.002320994992014252
F_3,capital-gain,0.4,swat_0.4,cramers_v,0.9908602289757011
F_3,capital-gain,0.4,swat_0.4,JS_Divergence,0.02352680521269773
F_3,capital-gain,0.6,swat_0.6,Hellinger,0.2536996263455196
F_3,capital-gain,0.6,swat_0.6,wasserstein,0.0036847253440218893
F_3,capital-gain,0.6,swat_0.6,cramers_v,0.987697363370548
F_3,capital-gain,0.6,swat_0.6,JS_Divergence,0.030524368586984867
F_3,capital-gain,0.8,swat_0.8,Hellinger,0.34290251671637834
F_3,capital-gain,0.8,swat_0.8,wasserstein,0.004220817202084471
F_3,capital-gain,0.8,swat_0.8,cramers_v,0.979459236955204
F_3,capital-gain,0.8,swat_0.8,JS_Divergence,0.03788051146797276
F_3,capital-gain,0.95,swat_0.95,Hellinger,0.38422436669823934
F_3,capital-gain,0.95,swat_0.95,wasserstein,0.00392966969554486
F_3,capital-gain,0.95,swat_0.95,cramers_v,0.9794096628051443
F_3,capital-gain,0.95,swat_0.95,JS_Divergence,0.03571154611861956
F_4,capital-loss,0.01,swat_0.01,Hellinger,0.0
F_4,capital-loss,0.01,swat_0.01,wasserstein,0.0
F_4,capital-loss,0.01,swat_0.01,cramers_v,0.8333333333333334
F_4,capital-loss,0.01,swat_0.01,JS_Divergence,0.0
F_4,capital-loss,0.05,swat_0.05,Hellinger,0.0055415656164677736
F_4,capital-loss,0.05,swat_0.05,wasserstein,0.0016603649392647
F_4,capital-loss,0.05,swat_0.05,cramers_v,0.7368421052631579
F_4,capital-loss,0.05,swat_0.05,JS_Divergence,0.0044709375431802
F_4,capital-loss,0.1,swat_0.1,Hellinger,0.01651127258287648
F_4,capital-loss,0.1,swat_0.1,wasserstein,0.00018785640622196104
F_4,capital-loss,0.1,swat_0.1,cramers_v,0.9465980048523739
F_4,capital-loss,0.1,swat_0.1,JS_Divergence,0.0031809205724662687
F_4,capital-loss,0.2,swat_0.2,Hellinger,0.06807221957236625
F_4,capital-loss,0.2,swat_0.2,wasserstein,0.0006402088576604301
F_4,capital-loss,0.2,swat_0.2,cramers_v,0.9983701793941127
F_4,capital-loss,0.2,swat_0.2,JS_Divergence,0.00917365748699177
F_4,capital-loss,0.4,swat_0.4,Hellinger,0.11510017159909991
F_4,capital-loss,0.4,swat_0.4,wasserstein,0.0014117554626410852
F_4,capital-loss,0.4,swat_0.4,cramers_v,0.993326340426971
F_4,capital-loss,0.4,swat_0.4,JS_Divergence,0.012913260708987606
F_4,capital-loss,0.6,swat_0.6,Hellinger,0.19332784729359176
F_4,capital-loss,0.6,swat_0.6,wasserstein,0.001618999651619085
F_4,capital-loss,0.6,swat_0.6,cramers_v,0.9883513142296069
F_4,capital-loss,0.6,swat_0.6,JS_Divergence,0.01668496378442273
F_4,capital-loss,0.8,swat_0.8,Hellinger,0.2765953173671723
F_4,capital-loss,0.8,swat_0.8,wasserstein,0.0028271655050286252
F_4,capital-loss,0.8,swat_0.8,cramers_v,0.9833159529776021
F_4,capital-loss,0.8,swat_0.8,JS_Divergence,0.0266711984763899
F_4,capital-loss,0.95,swat_0.95,Hellinger,0.3301834966405684
F_4,capital-loss,0.95,swat_0.95,wasserstein,0.004419012978339005
F_4,capital-loss,0.95,swat_0.95,cramers_v,0.9779007214590228
F_4,capital-loss,0.95,swat_0.95,JS_Divergence,0.034066702891559206
F_5,hours-per-week,0.01,swat_0.01,Hellinger,0.0
F_5,hours-per-week,0.01,swat_0.01,wasserstein,0.0
F_5,hours-per-week,0.01,swat_0.01,cramers_v,1.0
F_5,hours-per-week,0.01,swat_0.01,JS_Divergence,0.0
F_5,hours-per-week,0.05,swat_0.05,Hellinger,0.00032486637767598504
F_5,hours-per-week,0.05,swat_0.05,wasserstein,1.1935875440845e-05
F_5,hours-per-week,0.05,swat_0.05,cramers_v,1.0
F_5,hours-per-week,0.05,swat_0.05,JS_Divergence,0.00011607700715634501
F_5,hours-per-week,0.1,swat_0.1,Hellinger,0.013340013168697915
F_5,hours-per-week,0.1,swat_0.1,wasserstein,0.0004118411790173325
F_5,hours-per-week,0.1,swat_0.1,cramers_v,0.9984150281534726
F_5,hours-per-week,0.1,swat_0.1,JS_Divergence,0.00364588442168014
F_5,hours-per-week,0.2,swat_0.2,Hellinger,0.04672242406514786
F_5,hours-per-week,0.2,swat_0.2,wasserstein,0.000778479179217676
F_5,hours-per-week,0.2,swat_0.2,cramers_v,0.9975684122231223
F_5,hours-per-week,0.2,swat_0.2,JS_Divergence,0.009598794594181436
F_5,hours-per-week,0.4,swat_0.4,Hellinger,0.10294299411707479
F_5,hours-per-week,0.4,swat_0.4,wasserstein,0.001006779296152325
F_5,hours-per-week,0.4,swat_0.4,cramers_v,0.9907373572570866
F_5,hours-per-week,0.4,swat_0.4,JS_Divergence,0.014239295776448436
F_5,hours-per-week,0.6,swat_0.6,Hellinger,0.14917094112767493
F_5,hours-per-week,0.6,swat_0.6,wasserstein,0.001087575873042035
F_5,hours-per-week,0.6,swat_0.6,cramers_v,0.9850586246966019
F_5,hours-per-week,0.6,swat_0.6,JS_Divergence,0.017157999715606633
F_5,hours-per-week,0.8,swat_0.8,Hellinger,0.21648503523821164
F_5,hours-per-week,0.8,swat_0.8,wasserstein,0.001230350440707275
F_5,hours-per-week,0.8,swat_0.8,cramers_v,0.9761031580840263
F_5,hours-per-week,0.8,swat_0.8,JS_Divergence,0.020780004725654517
F_5,hours-per-week,0.95,swat_0.95,Hellinger,0.25836775085995334
F_5,hours-per-week,0.95,swat_0.95,wasserstein,0.001596239877497195
F_5,hours-per-week,0.95,swat_0.95,cramers_v,0.9724663226104203
F_5,hours-per-week,0.95,swat_0.95,JS_Divergence,0.023080787487354152
