ID,Features,Swap,Swap_ratio,Distance_measure,Value,Normalized
F_5,hours-per-week,0.1,10%,"Wasserstein
 distance(+)",0.00016881080262266685,0.7371647870834476
F_5,hours-per-week,0.1,10%,"Contingency
 coefficient(-)",0.7071067811865476,0.4163716977208961
F_5,hours-per-week,0.1,10%,"Total variation
 distance(+)",0.0031201574788036,0.3380770556180131
F_5,hours-per-week,0.1,10%,"Jensen–Shannon
 divergence(+)",0.0016351424490627649,0.0035130816592144403
F_5,hours-per-week,0.15,15%,"Hellinger
 distance(+)",0.030468317293782222,0.21000732204688013
F_5,hours-per-week,0.15,15%,"Wasserstein
 distance(+)",0.00063260478950824,0.9273237002935314
F_5,hours-per-week,0.15,15%,"Contingency
 coefficient(-)",0.7026315465903055,0.41484775341221464
F_5,hours-per-week,0.15,15%,"Total variation
 distance(+)",0.011161970724057354,0.5583055235815305
F_5,hours-per-week,0.15,15%,"Jensen–Shannon
 divergence(+)",0.006927014062893257,0.027472380435461102
F_5,hours-per-week,0.2,20%,"Hellinger
 distance(+)",0.046900880287925724,0.22942688888132776
F_5,hours-per-week,0.2,20%,"Wasserstein
 distance(+)",0.000628164299717345,0.8828545492415221
F_5,hours-per-week,0.2,20%,"Contingency
 coefficient(-)",0.7014705807024773,0.41454611996889945
F_5,hours-per-week,0.2,20%,"Total variation
 distance(+)",0.01279755432612364,0.5646823787013743
F_5,hours-per-week,0.2,20%,"Jensen–Shannon
 divergence(+)",0.008978351631403135,0.031774926802145755
F_5,hours-per-week,0.4,40%,"Hellinger
 distance(+)",0.09513485582778809,0.2909843724496092
F_5,hours-per-week,0.4,40%,"Wasserstein
 distance(+)",0.0008599489853167601,0.8651775916055119
F_5,hours-per-week,0.4,40%,"Contingency
 coefficient(-)",0.6984919833679533,0.41364297662164484
F_5,hours-per-week,0.4,40%,"Total variation
 distance(+)",0.016936577929022655,0.41867781694839984
F_5,hours-per-week,0.4,40%,"Jensen–Shannon
 divergence(+)",0.01301970695558544,0.024138715961785587
F_5,hours-per-week,0.6,60%,"Hellinger
 distance(+)",0.14756298707446977,0.5495676768776416
F_5,hours-per-week,0.6,60%,"Wasserstein
 distance(+)",0.0010699051649376901,0.9613106800749988
F_5,hours-per-week,0.6,60%,"Contingency
 coefficient(-)",0.6969354444115784,0.41321700854150933
F_5,hours-per-week,0.6,60%,"Total variation
 distance(+)",0.020599485635153694,0.3674099828153196
F_5,hours-per-week,0.6,60%,"Jensen–Shannon
 divergence(+)",0.01609470928762152,0.035453379808021324
F_5,hours-per-week,0.8,80%,"Hellinger
 distance(+)",0.21198246783739427,0.39498822202700196
F_5,hours-per-week,0.8,80%,"Wasserstein
 distance(+)",0.0012104658532376702,0.8512036595262115
F_5,hours-per-week,0.8,80%,"Contingency
 coefficient(-)",0.687700474766802,0.41015038063024944
F_5,hours-per-week,0.8,80%,"Total variation
 distance(+)",0.02622958512330581,0.39555911621895823
F_5,hours-per-week,0.8,80%,"Jensen–Shannon
 divergence(+)",0.020404513149551235,0.02883628058466488
F_5,hours-per-week,0.95,95%,"Hellinger
 distance(+)",0.26403093006034994,0.505623267107906
F_5,hours-per-week,0.95,95%,"Wasserstein
 distance(+)",0.00155894275616664,0.8951398270535856
F_5,hours-per-week,0.95,95%,"Contingency
 coefficient(-)",0.6821250688219178,0.40842333811091247
F_5,hours-per-week,0.95,95%,"Total variation
 distance(+)",0.036160447033979304,0.4130081652583224
F_5,hours-per-week,0.95,95%,"Jensen–Shannon
 divergence(+)",0.023592638452918254,0.02700891075860044
