Features,Swap,Swap_ratio,Distance_measure,Difference,Std,Protected,NonProtected
hours-per-week,0.1,10%,"Wasserstein
 distance(+)",-3.586775426232632e-05,1.793387713116316e-05,<=40,>=41
hours-per-week,0.1,10%,"Contingency
 coefficient(-)",0.0,0.0,<=40,>=41
hours-per-week,0.1,10%,"Total variation
 distance(+)",-0.0011943709883228998,0.0005971854941614499,<=40,>=41
hours-per-week,0.1,10%,"Jensen-Shannon
 divergence(+)",-0.0008607618493731103,0.00043038092468655515,<=40,>=41
hours-per-week,0.15,15%,"Hellinger
 distance(+)",-0.012126531712286441,0.0060632658561432205,<=40,>=41
hours-per-week,0.15,15%,"Wasserstein
 distance(+)",0.0002716843231731403,0.00013584216158657014,<=40,>=41
hours-per-week,0.15,15%,"Contingency
 coefficient(-)",4.69442449906321e-05,2.347212249531605e-05,<=40,>=41
hours-per-week,0.15,15%,"Total variation
 distance(+)",0.00506929033639723,0.002534645168198615,<=40,>=41
hours-per-week,0.15,15%,"Jensen-Shannon
 divergence(+)",0.00017960881316474771,8.980440658237386e-05,<=40,>=41
hours-per-week,0.2,20%,"Hellinger
 distance(+)",-0.02966441476431573,0.014832207382157864,<=40,>=41
hours-per-week,0.2,20%,"Wasserstein
 distance(+)",3.0329771706499864e-06,1.5164885853249932e-06,<=40,>=41
hours-per-week,0.2,20%,"Contingency
 coefficient(-)",-0.0028293472617255677,0.0014146736308627839,<=40,>=41
hours-per-week,0.2,20%,"Total variation
 distance(+)",0.0009477583856405004,0.0004738791928202502,<=40,>=41
hours-per-week,0.2,20%,"Jensen-Shannon
 divergence(+)",-0.0018312808947541885,0.0009156404473770943,<=40,>=41
hours-per-week,0.4,40%,"Hellinger
 distance(+)",-0.048082451861601413,0.024041225930800707,<=40,>=41
hours-per-week,0.4,40%,"Wasserstein
 distance(+)",0.00022307604415854,0.00011153802207927,<=40,>=41
hours-per-week,0.4,40%,"Contingency
 coefficient(-)",-0.0012842813870940217,0.0006421406935470109,<=40,>=41
hours-per-week,0.4,40%,"Total variation
 distance(+)",0.003028235765128909,0.0015141178825644544,<=40,>=41
hours-per-week,0.4,40%,"Jensen-Shannon
 divergence(+)",-0.0012147716376874809,0.0006073858188437404,<=40,>=41
hours-per-week,0.6,60%,"Hellinger
 distance(+)",-0.09943298457274201,0.049716492286371004,<=40,>=41
hours-per-week,0.6,60%,"Wasserstein
 distance(+)",-0.00030234156253252016,0.00015117078126626008,<=40,>=41
hours-per-week,0.6,60%,"Contingency
 coefficient(-)",0.006190782953418905,0.0030953914767094526,<=40,>=41
hours-per-week,0.6,60%,"Total variation
 distance(+)",-0.00613583546592503,0.003067917732962515,<=40,>=41
