Swap_ration,Measurement,Feature,thalach,thal,sex,trestbps,restecg,age,exang,ca,fbs,chol,cp,oldpeak,,Measurement&Feature&thalach&thal&sex&trestbps&restecg&age&exang&ca&fbs&chol&cp&oldpeak\\
0.5,Propensity score,cp,17.836,21.853,15.797,17.802,14.441,13.435,13.446,24.22,14.774,13.446,1,19.141,,Propensity score&cp&17.836&21.853&15.797&17.802&14.441&13.435&13.446&24.22&14.774&13.446&1&19.141\\
0.5,Propensity score,oldpeak,10.079,19.164,10.429,15.158,10.763,10.435,11.119,17.175,8.085,10.763,19.141,1,,Propensity score&oldpeak&10.079&19.164&10.429&15.158&10.763&10.435&11.119&17.175&8.085&10.763&19.141&1\\
0.5,Total variation distance,thalach,1,0.252,0.067,0.108,0.073,0.074,0.081,0.215,0.073,0.124,0.226,0.132,,Total variation distance&thalach&1&0.252&0.067&0.108&0.073&0.074&0.081&0.215&0.073&0.124&0.226&0.132\\
0.5,Total variation distance,thal,0.234,1,0.184,0.204,0.183,0.205,0.197,0.299,0.183,0.228,0.293,0.257,,Total variation distance&thal&0.234&1&0.184&0.204&0.183&0.205&0.197&0.299&0.183&0.228&0.293&0.257\\
0.5,Total variation distance,sex,0.091,0.194,1,0.099,0.046,0.045,0.053,0.207,0.04,0.065,0.23,0.142,,Total variation distance&sex&0.091&0.194&1&0.099&0.046&0.045&0.053&0.207&0.04&0.065&0.23&0.142\\
0.5,Total variation distance,trestbps,0.153,0.226,0.099,1,0.097,0.133,0.121,0.217,0.074,0.137,0.208,0.164,,Total variation distance&trestbps&0.153&0.226&0.099&1&0.097&0.133&0.121&0.217&0.074&0.137&0.208&0.164\\
0.5,Total variation distance,restecg,0.087,0.183,0.039,0.107,1,0.039,0.028,0.161,0.014,0.051,0.191,0.154,,Total variation distance&restecg&0.087&0.183&0.039&0.107&1&0.039&0.028&0.161&0.014&0.051&0.191&0.154\\
0.5,Total variation distance,age,0.08,0.212,0.045,0.138,0.033,1,0.052,0.215,0.02,0.078,0.176,0.142,,Total variation distance&age&0.08&0.212&0.045&0.138&0.033&1&0.052&0.215&0.02&0.078&0.176&0.142\\
0.5,Total variation distance,exang,0.08,0.192,0.06,0.094,0.028,0.047,1,0.192,0.021,0.067,0.178,0.172,,Total variation distance&exang&0.08&0.192&0.06&0.094&0.028&0.047&1&0.192&0.021&0.067&0.178&0.172\\
0.5,Total variation distance,ca,0.209,0.298,0.211,0.218,0.173,0.221,0.201,1,0.193,0.177,0.324,0.206,,Total variation distance&ca&0.209&0.298&0.211&0.218&0.173&0.221&0.201&1&0.193&0.177&0.324&0.206\\
